round,client,update_norm,sent_update_norm,scale_ratio
1,0,1.9197075664888597,1.9197075664888597,1.0
1,1,1.8711436140762667,1.8711436140762667,1.0
1,2,1.8888716278183717,1.8888716278183717,1.0
1,3,1.8241181369777553,1.8241181369777553,1.0
1,4,1.9471267284393607,1.9471267284393607,1.0
2,0,1.4253157230308862,1.4253157230308862,1.0
2,1,1.45490037030256,1.45490037030256,1.0
2,2,1.4385531862141065,1.4385531862141065,1.0
2,3,1.4601752031433322,1.4601752031433322,1.0
2,4,1.4081848879103245,1.4081848879103245,1.0
3,0,0.7845756857336212,0.7845756857336212,1.0
3,1,0.8224454429632994,0.8224454429632994,1.0
3,2,0.8211240308620826,0.8211240308620826,1.0
3,3,0.8398474497012388,0.8398474497012388,1.0
3,4,0.7690923724129867,0.7690923724129867,1.0
4,0,0.5275987796646092,0.5275987796646092,1.0
4,1,0.5662387846812884,0.5662387846812884,1.0
4,2,0.5705510914241443,0.5705510914241443,1.0
4,3,0.5839949673159038,0.5839949673159038,1.0
4,4,0.5263850585264976,0.5263850585264976,1.0
5,0,0.4064939020309422,0.4064939020309422,1.0
5,1,0.4341393101039293,0.4341393101039293,1.0
5,2,0.4454165024610479,0.4454165024610479,1.0
5,3,0.4523493219014571,0.4523493219014571,1.0
5,4,0.40769481286125286,0.40769481286125286,1.0
6,0,0.33381265511339125,0.33381265511339125,1.0
6,1,0.3591629606982051,0.3591629606982051,1.0
6,2,0.3668870484144183,0.3668870484144183,1.0
6,3,0.376338878522794,0.376338878522794,1.0
6,4,0.34459861775168016,0.34459861775168016,1.0
7,0,0.29445014463506586,0.29445014463506586,1.0
7,1,0.31101212715168564,0.31101212715168564,1.0
7,2,0.3164168528828355,0.3164168528828355,1.0
7,3,0.3262210421235866,0.3262210421235866,1.0
7,4,0.3054355421290916,0.3054355421290916,1.0
8,0,0.2584514770649872,0.2584514770649872,1.0
8,1,0.2768360746072466,0.2768360746072466,1.0
8,2,0.287200791069132,0.287200791069132,1.0
8,3,0.29384257027275246,0.29384257027275246,1.0
8,4,0.2741241296569833,0.2741241296569833,1.0
9,0,0.23808944854105982,0.23808944854105982,1.0
9,1,0.2546485962531381,0.2546485962531381,1.0
9,2,0.26124678803826595,0.26124678803826595,1.0
9,3,0.2703849469498498,0.2703849469498498,1.0
9,4,0.25963951285364856,0.25963951285364856,1.0
10,0,0.23260917344812487,0.23260917344812487,1.0
10,1,0.23855288950535858,0.23855288950535858,1.0
10,2,0.23839147231857863,0.23839147231857863,1.0
10,3,0.25285801018784976,0.25285801018784976,1.0
10,4,0.2501041269625315,0.2501041269625315,1.0
