round,client,update_l2_norm
1,0,2.1394791641746056
1,1,1.920375917787438
1,2,2.113816914871284
1,3,2.0644221408805956
1,4,2.120895393597389
1,5,2.1394791641746056
1,6,2.1394791641746056
2,0,1.4779237659046165
2,1,1.60448079598152
2,2,1.6454408587048854
2,3,1.5920693634393845
2,4,1.596146697857009
2,5,1.4779237659046165
2,6,1.4779237659046165
3,0,0.9643643784525652
3,1,1.2054279237262335
3,2,1.2284788653827383
3,3,1.2564567881681477
3,4,1.1665911523005967
3,5,0.9643643784525652
3,6,0.9643643784525652
4,0,0.7154018749291912
4,1,0.9729575769362729
4,2,0.9706767745972806
4,3,1.0506075940306412
4,4,0.9152541433947832
4,5,0.7154018749291912
4,6,0.7154018749291912
5,0,0.5750233822522272
5,1,0.8090693491460809
5,2,0.8211376436416921
5,3,0.9277209103372471
5,4,0.775280512383786
5,5,0.5750233822522272
5,6,0.5750233822522272
6,0,0.49028051952529655
6,1,0.6950968302893592
6,2,0.7119786673908571
6,3,0.837681468561078
6,4,0.6947176803680479
6,5,0.49028051952529655
6,6,0.49028051952529655
7,0,0.4376275323036582
7,1,0.6237447245080325
7,2,0.6376639685138471
7,3,0.7746011687715189
7,4,0.63666635911443
7,5,0.4376275323036582
7,6,0.4376275323036582
8,0,0.4029140295692369
8,1,0.5696268082551041
8,2,0.5895536754927004
8,3,0.7323256587794573
8,4,0.5929112398088252
8,5,0.4029140295692369
8,6,0.4029140295692369
9,0,0.37132650466296824
9,1,0.5110829795601093
9,2,0.5577022686695916
9,3,0.7073345102247525
9,4,0.5607550283973893
9,5,0.37132650466296824
9,6,0.37132650466296824
10,0,0.35681815521189525
10,1,0.4901727382459663
10,2,0.5202706520460385
10,3,0.6697414336068074
10,4,0.5552138271293984
10,5,0.35681815521189525
10,6,0.35681815521189525
