round,logical_id,submitted_update_l2,threshold,clip_factor,clipped_update_l2,reconstructed_update_l2
1,0,2.0770195998211465,,1.0,2.0770195998211465,2.0770195998211465
1,1,2.044328544223218,,1.0,2.044328544223218,2.044328544223218
1,2,2.055447494679632,,1.0,2.055447494679632,2.055447494679632
1,3,1.9573301102001563,,1.0,1.9573301102001563,1.9573301102001563
1,4,2.0481857208788448,,1.0,2.0481857208788448,2.0481857208788448
2,0,1.4331980242732798,,1.0,1.4331980242732798,1.4331980242732798
2,1,1.6154285207106016,,1.0,1.6154285207106016,1.6154285207106016
2,2,1.6226533080120773,,1.0,1.6226533080120773,1.6226533080120773
2,3,1.3433894631511396,,1.0,1.3433894631511396,1.3433894631511396
2,4,1.8971598730596573,,1.0,1.8971598730596573,1.8971598730596573
3,0,0.9958065091527158,,1.0,0.9958065091527158,0.9958065091527158
3,1,1.221057865239659,,1.0,1.221057865239659,1.221057865239659
3,2,1.1552483635723512,,1.0,1.1552483635723512,1.1552483635723512
3,3,0.8702731668964244,,1.0,0.8702731668964244,0.8702731668964244
3,4,1.6521286298992475,,1.0,1.6521286298992475,1.6521286298992475
4,0,0.7905644653177192,,1.0,0.7905644653177192,0.7905644653177192
4,1,0.997021776161041,,1.0,0.997021776161041,0.997021776161041
4,2,0.9065269093802163,,1.0,0.9065269093802163,0.9065269093802163
4,3,0.6581351753166599,,1.0,0.6581351753166599,0.6581351753166599
4,4,1.4236033819376248,,1.0,1.4236033819376248,1.4236033819376248
5,0,0.6878578479922636,,1.0,0.6878578479922636,0.6878578479922636
5,1,0.8582871565587534,,1.0,0.8582871565587534,0.8582871565587534
5,2,0.7827233246801685,,1.0,0.7827233246801685,0.7827233246801685
5,3,0.5366689817332051,,1.0,0.5366689817332051,0.5366689817332051
5,4,1.2294044930478771,,1.0,1.2294044930478771,1.2294044930478771
6,0,0.6262846498404794,,1.0,0.6262846498404794,0.6262846498404794
6,1,0.7586511060363939,,1.0,0.7586511060363939,0.7586511060363939
6,2,0.6944828951572773,,1.0,0.6944828951572773,0.6944828951572773
6,3,0.46898562730619453,,1.0,0.46898562730619453,0.46898562730619453
6,4,1.088602057373147,,1.0,1.088602057373147,1.088602057373147
7,0,0.5828482911909753,,1.0,0.5828482911909753,0.5828482911909753
7,1,0.6834621424491152,,1.0,0.6834621424491152,0.6834621424491152
7,2,0.643798774510336,,1.0,0.643798774510336,0.643798774510336
7,3,0.4400160679802384,,1.0,0.4400160679802384,0.4400160679802384
7,4,0.9799195395597148,,1.0,0.9799195395597148,0.9799195395597148
8,0,0.5570389456916668,,1.0,0.5570389456916668,0.5570389456916668
8,1,0.6226964517665368,,1.0,0.6226964517665368,0.6226964517665368
8,2,0.6036228614470384,,1.0,0.6036228614470384,0.6036228614470384
8,3,0.39704204789119624,,1.0,0.39704204789119624,0.39704204789119624
8,4,0.9129501673448339,,1.0,0.9129501673448339,0.9129501673448339
9,0,0.521869818963818,,1.0,0.521869818963818,0.521869818963818
9,1,0.5806919773120921,,1.0,0.5806919773120921,0.5806919773120921
9,2,0.5774338627063298,,1.0,0.5774338627063298,0.5774338627063298
9,3,0.36650146716292387,,1.0,0.36650146716292387,0.36650146716292387
9,4,0.854098728742903,,1.0,0.854098728742903,0.854098728742903
10,0,0.5177785959399877,,1.0,0.5177785959399877,0.5177785959399877
10,1,0.543283717997476,,1.0,0.543283717997476,0.543283717997476
10,2,0.5507190362349779,,1.0,0.5507190362349779,0.5507190362349779
10,3,0.35589266445079254,,1.0,0.35589266445079254,0.35589266445079254
10,4,0.8253748251966574,,1.0,0.8253748251966574,0.8253748251966574
