round,client,update_norm,sent_update_norm,scale_ratio
1,0,2.101264336151614,2.1012643361194803,0.9999999999847073
1,1,1.5738615054041722,1.5738615054041722,1.0
1,2,2.3560188027658047,2.3560188027658047,1.0
1,3,1.5318735233475023,1.5318735233475023,1.0
1,4,2.1660799513615285,2.1660799513615285,1.0
2,0,1.6153301370153774,1.6153301350461575,0.9999999987809179
2,1,1.2439159592733064,1.2439159592733064,1.0
2,2,1.8077278295342927,1.8077278295342927,1.0
2,3,1.1037321687287813,1.1037321687287813,1.0
2,4,1.549271639003087,1.549271639003087,1.0
3,0,1.1886206615169674,1.1886206616135662,1.0000000000812697
3,1,0.9990612113564625,0.9990612113564625,1.0
3,2,1.3782708559229748,1.3782708559229748,1.0
3,3,0.8483888722302438,0.8483888722302438,1.0
3,4,1.1096366475908963,1.1096366475908963,1.0
4,0,0.9327593725673072,0.9327593723624003,0.9999999997803217
4,1,0.8702943857680642,0.8702943857680642,1.0
4,2,1.1022290501811987,1.1022290501811987,1.0
4,3,0.719949515942494,0.719949515942494,1.0
4,4,0.8826638324588902,0.8826638324588902,1.0
5,0,0.7822782855296571,0.7822782854890448,0.9999999999480846
5,1,0.775564517604468,0.775564517604468,1.0
5,2,0.9285908132599385,0.9285908132599385,1.0
5,3,0.6488507709482635,0.6488507709482635,1.0
5,4,0.744656476622427,0.744656476622427,1.0
6,0,0.693712093727219,0.6937120937142033,0.9999999999812376
6,1,0.7239038277013645,0.7239038277013645,1.0
6,2,0.803675232920319,0.803675232920319,1.0
6,3,0.6198687477359606,0.6198687477359606,1.0
6,4,0.6720377856594332,0.6720377856594332,1.0
7,0,0.6264457177594164,0.6264457180205321,1.000000000416821
7,1,0.6835472188927187,0.6835472188927187,1.0
7,2,0.7312440297453968,0.7312440297453968,1.0
7,3,0.585742138370711,0.585742138370711,1.0
7,4,0.631738657667345,0.631738657667345,1.0
8,0,0.5976793288127098,0.5976793287439898,0.9999999998850219
8,1,0.6621632280628824,0.6621632280628824,1.0
8,2,0.6740969615823642,0.6740969615823642,1.0
8,3,0.5634978213588278,0.5634978213588278,1.0
8,4,0.5840217379684141,0.5840217379684141,1.0
9,0,0.5552269401416078,0.5552269400096457,0.9999999997623277
9,1,0.6414963774504597,0.6414963774504597,1.0
9,2,0.6455233224000123,0.6455233224000123,1.0
9,3,0.5565143901078445,0.5565143901078445,1.0
9,4,0.5643331053434526,0.5643331053434526,1.0
10,0,0.5504997580221502,0.550499758255646,1.0000000004241523
10,1,0.6267789592255127,0.6267789592255127,1.0
10,2,0.6070538973626103,0.6070538973626103,1.0
10,3,0.5432269279007281,0.5432269279007281,1.0
10,4,0.5399347255916518,0.5399347255916518,1.0
