round,logical_id,submitted_update_l2,threshold,clip_factor,clipped_update_l2,reconstructed_update_l2
1,0,18.385277487314948,2.071883582580222,0.11269253803809776,2.071883582580222,2.0718835817497223
1,1,2.206205346382377,2.071883582580222,0.9391163818805855,2.0718835825802215,2.0718835848884667
1,2,1.6829868767025333,2.071883582580222,1.0,1.6829868767025333,1.6829868767025333
1,3,2.071883582580222,2.071883582580222,1.0,2.071883582580222,2.071883582580222
1,4,1.8671136933571217,2.071883582580222,1.0,1.8671136933571217,1.8671136933571217
2,0,14.60995798822324,1.4724567161793973,0.10078445929593444,1.4724567161793973,1.4724567103577093
2,1,1.603787578253911,1.4724567161793973,0.9181120593180443,1.4724567161793976,1.472456716936931
2,2,1.448306964078664,1.4724567161793973,1.0,1.448306964078664,1.448306964078664
2,3,1.4724567161793973,1.4724567161793973,1.0,1.4724567161793973,1.4724567161793973
2,4,1.4554133751913698,1.4724567161793973,1.0,1.4554133751913698,1.4554133751913698
3,0,10.976201625906631,1.1371488218153833,0.10360130585897971,1.1371488218153833,1.1371488183530556
3,1,1.1423138632995433,1.1371488218153833,0.9954784392887951,1.1371488218153836,1.13714882466015
3,2,1.1371488218153833,1.1371488218153833,1.0,1.1371488218153833,1.1371488218153833
3,3,1.0183900588104229,1.1371488218153833,1.0,1.0183900588104229,1.0183900588104229
3,4,1.10893305568353,1.1371488218153833,1.0,1.10893305568353,1.10893305568353
4,0,8.65390727519252,0.8857562719939843,0.10235333518457179,0.8857562719939844,0.8857562720969023
4,1,0.884233460615052,0.8857562719939843,1.0,0.884233460615052,0.884233460615052
4,2,0.8903763620832347,0.8857562719939843,0.9948110818233756,0.8857562719939843,0.8857562732647855
4,3,0.8164929613349743,0.8857562719939843,1.0,0.8164929613349743,0.8164929613349743
4,4,0.8857562719939843,0.8857562719939843,1.0,0.8857562719939843,0.8857562719939843
5,0,7.272448111814326,0.7445162347056401,0.10237491189468229,0.7445162347056401,0.7445162355044004
5,1,0.7364834437196411,0.7445162347056401,1.0,0.7364834437196411,0.7364834437196411
5,2,0.7445162347056401,0.7445162347056401,1.0,0.7445162347056401,0.7445162347056401
5,3,0.6960474914739364,0.7445162347056401,1.0,0.6960474914739364,0.6960474914739364
5,4,0.746283738728598,0.7445162347056401,0.997631592474507,0.74451623470564,0.7445162401105807
6,0,6.221918214670915,0.65330138268275,0.10499999520120723,0.6533013826827498,0.6533013744383731
6,1,0.65330138268275,0.65330138268275,1.0,0.65330138268275,0.65330138268275
6,2,0.6384106755395773,0.65330138268275,1.0,0.6384106755395773,0.6384106755395773
6,3,0.63445630369268,0.65330138268275,1.0,0.63445630369268,0.63445630369268
6,4,0.6574025956058275,0.65330138268275,0.9937614896100341,0.65330138268275,0.6533013841265346
7,0,5.662720413424422,0.6015025561331356,0.10622148229447699,0.6015025561331356,0.6015025585267936
7,1,0.6015025561331356,0.6015025561331356,1.0,0.6015025561331356,0.6015025561331356
7,2,0.574929030291597,0.6015025561331356,1.0,0.574929030291597,0.574929030291597
7,3,0.5892693750703903,0.6015025561331356,1.0,0.5892693750703903,0.5892693750703903
7,4,0.6036441713875469,0.6015025561331356,0.9964521892930922,0.6015025561331357,0.601502550301881
8,0,5.1656958217229825,0.5586181458550301,0.10813996122379248,0.5586181458550301,0.5586181434545133
8,1,0.5555506377138948,0.5586181458550301,1.0,0.5555506377138948,0.5555506377138948
8,2,0.5293561253081819,0.5586181458550301,1.0,0.5293561253081819,0.5293561253081819
8,3,0.5586181458550301,0.5586181458550301,1.0,0.5586181458550301,0.5586181458550301
8,4,0.5652386140454746,0.5586181458550301,0.9882873037582109,0.5586181458550301,0.5586181476534924
9,0,4.731504619525216,0.5323675730295351,0.1125154926051738,0.5323675730295351,0.5323675773332013
9,1,0.5323675730295351,0.5323675730295351,1.0,0.5323675730295351,0.5323675730295351
9,2,0.48984517629386354,0.5323675730295351,1.0,0.48984517629386354,0.48984517629386354
9,3,0.5543535751575007,0.5323675730295351,0.9603393878686196,0.5323675730295351,0.5323675719718957
9,4,0.5249019450619625,0.5323675730295351,1.0,0.5249019450619625,0.5249019450619625
10,0,4.479212118211519,0.5193675579427223,0.11595065030099486,0.5193675579427223,0.5193675594315023
10,1,0.5164458840457099,0.5193675579427223,1.0,0.5164458840457099,0.5164458840457099
10,2,0.46742067878817284,0.5193675579427223,1.0,0.46742067878817284,0.46742067878817284
10,3,0.526306095918176,0.5193675579427223,0.986816535036804,0.5193675579427223,0.5193675563525235
10,4,0.5193675579427223,0.5193675579427223,1.0,0.5193675579427223,0.5193675579427223
