round,clean_loss,clean_accuracy_percent,asr_percent
1,1.885861305809021,44.230000000000004,0.0
2,1.5083619302749633,55.87,0.0
3,1.2429299394607545,59.57,0.0
4,1.0622335897445678,62.13999999999999,0.0
5,0.9138283226013184,65.97,0.0
6,0.8008803984642029,69.71000000000001,0.011086474501108647
7,0.7094283645153046,73.47,0.044345898004434586
8,0.6439495734214783,76.64999999999999,0.05543237250554324
9,0.6025053481578827,78.58000000000001,0.06651884700665188
10,0.565800130367279,80.2,0.08869179600886917
