round,clean_loss,clean_accuracy_percent,asr_percent
1,1.9350454113006592,39.15,0.0
2,1.590881593132019,56.06,0.0
3,1.3389988899230958,64.13,0.0
4,1.1672521947860717,66.53999999999999,0.0
5,1.0062347098350526,71.17999999999999,0.05543237250554324
6,0.9130621590614318,74.46000000000001,0.15521064301552107
7,0.8387661499023438,76.39,0.2660753880266075
8,0.7714724990367889,78.11,0.46563192904656325
9,0.724914491558075,78.79,0.4878048780487805
10,0.6898080101490021,79.36999999999999,0.47671840354767187
