round,clean_loss,clean_accuracy_percent,asr_percent
1,2.1094266605377197,27.72,1.9844789356984478
2,1.8339947240829468,33.839999999999996,0.15521064301552107
3,1.5937656021118165,48.55,0.2771618625277162
4,1.4567924074172973,55.989999999999995,0.2660753880266075
5,1.3426078372955321,60.24,0.47671840354767187
6,1.2694214595794677,63.29,0.47671840354767187
7,1.221950544166565,65.57,0.46563192904656325
8,1.183707513999939,67.30000000000001,0.6984478935698448
9,1.188024130630493,67.60000000000001,0.4878048780487805
10,1.1461005828857422,68.91000000000001,0.6319290465631929
