round,clean_loss,clean_accuracy_percent,asr_percent
1,1.6889923435211183,55.58,73.69179600886918
2,1.2453597230911255,61.91,70.86474501108647
3,0.9742693898200989,65.91,82.84922394678492
4,0.8052895230293274,71.78999999999999,91.51884700665188
5,0.7004856513500214,76.38000000000001,96.0310421286031
6,0.6311024946212769,79.07,97.0509977827051
7,0.5843182789325714,80.83,97.93791574279379
8,0.5409126292228699,82.73,98.41463414634146
9,0.5210224576473236,83.37,98.91352549889135
10,0.49175015280246737,84.63000000000001,98.72505543237251
