round,clean_loss,clean_accuracy_percent,asr_percent
1,1.685820254135132,55.800000000000004,73.42572062084257
2,1.2468599672317504,62.01,71.55210643015522
3,0.9929830550193787,65.52,82.48337028824834
4,0.8357123533248901,70.39,91.57427937915743
5,0.7359705049991607,74.17,95.44345898004435
6,0.6629694289207458,76.94,96.65188470066519
7,0.6143313361644744,78.99000000000001,97.73835920177383
8,0.5729551200628281,80.93,98.31485587583148
9,0.5543908930778504,81.55,98.74722838137473
10,0.5250550433635711,82.85,98.89135254988913
