round,client_i,client_j,cosine_similarity,pair_type
1,0,1,0.40482757677976516,sybil_honest
1,0,2,0.4887576798335371,sybil_honest
1,0,3,0.21653461785971434,sybil_honest
1,0,4,0.3139612069310824,sybil_honest
1,0,5,0.9990690090516435,sybil_sybil
1,0,6,0.9988688571315758,sybil_sybil
1,1,2,0.28985310831321776,honest_honest
1,1,3,0.33821505303078353,honest_honest
1,1,4,0.7475851525865043,honest_honest
1,1,5,0.40751688729902036,sybil_honest
1,1,6,0.4067909748408447,sybil_honest
1,2,3,0.5079508368007271,honest_honest
1,2,4,0.33855197917345825,honest_honest
1,2,5,0.4887867105382404,sybil_honest
1,2,6,0.48988459747393365,sybil_honest
1,3,4,0.09094499012537083,honest_honest
1,3,5,0.21227051510805872,sybil_honest
1,3,6,0.21417620208535965,sybil_honest
1,4,5,0.31316121870278607,sybil_honest
1,4,6,0.31498995039416244,sybil_honest
1,5,6,0.9987389997688063,sybil_sybil
2,0,1,0.39684997691592316,sybil_honest
2,0,2,0.3898357349851257,sybil_honest
2,0,3,0.15624235639581263,sybil_honest
2,0,4,0.29392244428437797,sybil_honest
2,0,5,0.9996654040207735,sybil_sybil
2,0,6,0.9994952400013104,sybil_sybil
2,1,2,0.4485761683249861,honest_honest
2,1,3,0.4205559204122972,honest_honest
2,1,4,0.787470262768489,honest_honest
2,1,5,0.39794899194787603,sybil_honest
2,1,6,0.39963913364170667,sybil_honest
2,2,3,0.5165187582484256,honest_honest
2,2,4,0.39688614536298966,honest_honest
2,2,5,0.38993106357471036,sybil_honest
2,2,6,0.3896162630752823,sybil_honest
2,3,4,0.07908596860535484,honest_honest
2,3,5,0.15579019175019357,sybil_honest
2,3,6,0.15721297659068229,sybil_honest
2,4,5,0.29437225175992565,sybil_honest
2,4,6,0.2939648663311883,sybil_honest
2,5,6,0.9995741346291667,sybil_sybil
3,0,1,0.2643701526372119,sybil_honest
3,0,2,0.2228738802121639,sybil_honest
3,0,3,0.014462245419838198,sybil_honest
3,0,4,0.19285577292984063,sybil_honest
3,0,5,0.9989575484087376,sybil_sybil
3,0,6,0.9994506777322147,sybil_sybil
3,1,2,0.4385566220637107,honest_honest
3,1,3,0.38237978123744243,honest_honest
3,1,4,0.7688920643261183,honest_honest
3,1,5,0.26526390181893245,sybil_honest
3,1,6,0.26549194015729194,sybil_honest
3,2,3,0.4995473582915546,honest_honest
3,2,4,0.3649306465592423,honest_honest
3,2,5,0.22883214163218799,sybil_honest
3,2,6,0.22058537136532358,sybil_honest
3,3,4,0.013797309048457836,honest_honest
3,3,5,0.0241042209573502,sybil_honest
3,3,6,0.013574920993777745,sybil_honest
3,4,5,0.18956623715611254,sybil_honest
3,4,6,0.1933358094257425,sybil_honest
3,5,6,0.9989528258458966,sybil_sybil
4,0,1,0.14801684743320415,sybil_honest
4,0,2,0.10745269468321227,sybil_honest
4,0,3,-0.08771257691525707,sybil_honest
4,0,4,0.08462377482776798,sybil_honest
4,0,5,0.998857440637261,sybil_sybil
4,0,6,0.9990026280653229,sybil_sybil
4,1,2,0.3870599937857138,honest_honest
4,1,3,0.3601313350352146,honest_honest
4,1,4,0.7256330758277683,honest_honest
4,1,5,0.14655619360272837,sybil_honest
4,1,6,0.15266434454648475,sybil_honest
4,2,3,0.48849588557374723,honest_honest
4,2,4,0.2892749498601081,honest_honest
4,2,5,0.11050484612010786,sybil_honest
4,2,6,0.10271983376493432,sybil_honest
4,3,4,-0.031883201267247266,honest_honest
4,3,5,-0.08095387074194006,sybil_honest
4,3,6,-0.0875334680880879,sybil_honest
4,4,5,0.0731363821982865,sybil_honest
4,4,6,0.08709124896098075,sybil_honest
4,5,6,0.9987779520658727,sybil_sybil
5,0,1,0.07045454246299784,sybil_honest
5,0,2,0.029352491702034817,sybil_honest
5,0,3,-0.16488988536010651,sybil_honest
5,0,4,0.009715304173143584,sybil_honest
5,0,5,0.9961797176312874,sybil_sybil
5,0,6,0.9978548254960685,sybil_sybil
5,1,2,0.33566941964812225,honest_honest
5,1,3,0.3400358072289975,honest_honest
5,1,4,0.6875212465858884,honest_honest
5,1,5,0.07167579337824381,sybil_honest
5,1,6,0.07532638163042442,sybil_honest
5,2,3,0.46449435992550075,honest_honest
5,2,4,0.22139247398490305,honest_honest
5,2,5,0.025235560808061462,sybil_honest
5,2,6,0.01698414399541082,sybil_honest
5,3,4,-0.07049272160986757,honest_honest
5,3,5,-0.1571224679009331,sybil_honest
5,3,6,-0.1724355107208299,sybil_honest
5,4,5,0.012616339629498305,sybil_honest
5,4,6,0.018533434969478554,sybil_honest
5,5,6,0.9970398339910767,sybil_sybil
6,0,1,0.0009057652448022022,sybil_honest
6,0,2,-0.03126737666003679,sybil_honest
6,0,3,-0.22194423663418678,sybil_honest
6,0,4,-0.05073480710235506,sybil_honest
6,0,5,0.9952795557467533,sybil_sybil
6,0,6,0.9968218116325809,sybil_sybil
6,1,2,0.3107801417313211,honest_honest
6,1,3,0.3334625349919571,honest_honest
6,1,4,0.6286280393682755,honest_honest
6,1,5,0.009843482674376895,sybil_honest
6,1,6,0.018064964611167987,sybil_honest
6,2,3,0.4626004422381119,honest_honest
6,2,4,0.13721268165071887,honest_honest
6,2,5,-0.03732659609576448,sybil_honest
6,2,6,-0.050987177142066395,sybil_honest
6,3,4,-0.12922733268086592,honest_honest
6,3,5,-0.22655579209786567,sybil_honest
6,3,6,-0.24029156650800873,sybil_honest
6,4,5,-0.06757963088140354,sybil_honest
6,4,6,-0.01980295404864467,sybil_honest
6,5,6,0.9941117573713637,sybil_sybil
7,0,1,-0.06035729044666238,sybil_honest
