round,clean_loss,clean_accuracy_percent,asr_percent
1,1.8443982696533203,43.01,59.70066518847007
2,1.5086354698181152,45.34,72.5609756097561
3,1.2493798509597778,54.120000000000005,85.08869179600886
4,1.0636829109191894,61.67,91.0310421286031
5,0.9353335005760193,67.28,95.04434589800444
6,0.8363569165229797,72.0,96.54101995565411
7,0.7645046803474427,75.25,97.57206208425721
8,0.7160900617599487,77.11,98.0820399113082
9,0.6740640564918519,78.56,98.470066518847
10,0.6347434441566467,80.34,98.66962305986696
