round,clean_loss,clean_accuracy_percent,asr_percent
1,1.8093793741226196,49.46,3.647450110864745
2,1.3416068687438965,56.120000000000005,8.658536585365853
3,1.043697155380249,66.45,17.416851441241686
4,0.8731406310081482,70.53,24.290465631929045
5,0.7375949103355408,75.64999999999999,31.119733924611975
6,0.6582382435798645,78.06,35.57649667405765
7,0.5984901250839233,80.33,39.60088691796009
8,0.5488309210777282,82.27,44.689578713968956
9,0.5211076518774033,83.22,49.2350332594235
10,0.4956051208972931,84.39999999999999,54.88913525498892
