round,loss,accuracy
1,12.820714231872559,0.354
2,2.3682427616119384,0.4
3,2.2976179626464845,0.372
4,1.820927763748169,0.4449
5,3.2049733406066894,0.3129
6,3.258113423919678,0.3215
7,9.932695138549805,0.1776
8,7.586651086425781,0.2423
9,11.134114451599121,0.0991
10,8.141919219970703,0.2601
