round,client,update_norm,sent_update_norm,scale_ratio
1,0,2.170218496058302,2.170218496058302,1.0
1,1,1.713839184970722,1.713839184970722,1.0
1,2,2.2090511448987353,2.2090511448987353,1.0
1,3,1.739443339611607,1.739443339611607,1.0
1,4,2.0111431260794865,2.0111431260794865,1.0
2,0,1.59942998806839,1.59942998806839,1.0
2,1,1.248756710724551,1.248756710724551,1.0
2,2,1.4918356281111578,1.4918356281111578,1.0
2,3,1.315831975212063,1.315831975212063,1.0
2,4,1.589514062731358,1.589514062731358,1.0
3,0,0.9814796038126467,0.9814796038126467,1.0
3,1,0.7535200148925603,0.7535200148925603,1.0
3,2,0.8619683784362827,0.8619683784362827,1.0
3,3,0.785969765854309,0.785969765854309,1.0
3,4,1.055848054272141,1.055848054272141,1.0
4,0,0.6886577694154091,0.6886577694154091,1.0
4,1,0.5303211477946232,0.5303211477946232,1.0
4,2,0.6023848048355822,0.6023848048355822,1.0
4,3,0.5446332831550984,0.5446332831550984,1.0
4,4,0.785864742769551,0.785864742769551,1.0
5,0,0.5394977240804547,0.5394977240804547,1.0
5,1,0.4530788541692286,0.4530788541692286,1.0
5,2,0.4739286681163214,0.4739286681163214,1.0
5,3,0.41853883601819386,0.41853883601819386,1.0
5,4,0.6509195797218988,0.6509195797218988,1.0
6,0,0.44881262918214393,0.44881262918214393,1.0
6,1,0.38835909910157834,0.38835909910157834,1.0
6,2,0.4135731112901256,0.4135731112901256,1.0
6,3,0.35589652829090856,0.35589652829090856,1.0
6,4,0.5572467293408626,0.5572467293408626,1.0
7,0,0.3933301646292132,0.3933301646292132,1.0
7,1,0.36211220337190303,0.36211220337190303,1.0
7,2,0.37860103203882045,0.37860103203882045,1.0
7,3,0.3245057196202758,0.3245057196202758,1.0
7,4,0.48825603702483217,0.48825603702483217,1.0
8,0,0.356957491147443,0.356957491147443,1.0
8,1,0.32452221503442946,0.32452221503442946,1.0
8,2,0.3586978771697023,0.3586978771697023,1.0
8,3,0.29597945676340054,0.29597945676340054,1.0
8,4,0.45303875280661493,0.45303875280661493,1.0
9,0,0.3293765127363289,0.3293765127363289,1.0
9,1,0.3225156088930165,0.3225156088930165,1.0
9,2,0.331194113589446,0.331194113589446,1.0
9,3,0.2720208311088435,0.2720208311088435,1.0
9,4,0.4231186400161897,0.4231186400161897,1.0
10,0,0.30356903979731753,0.30356903979731753,1.0
10,1,0.32136320893553566,0.32136320893553566,1.0
10,2,0.33714557099773096,0.33714557099773096,1.0
10,3,0.26146673079685573,0.26146673079685573,1.0
10,4,0.41089232630855654,0.41089232630855654,1.0
