round,loss,accuracy
1,0.7640505895614624,0.7394
2,1.1956386615753174,0.6199
3,1.932458318901062,0.5748
4,5.4890326919555665,0.2944
5,4.28356682510376,0.4256
6,7.89682406463623,0.2032
7,7.130690173339843,0.3928
8,7.7644186798095705,0.3222
9,6.759009158325195,0.3381
10,5.169522743225098,0.3945
