round,clean_loss,clean_accuracy_percent,asr_percent
1,1.6412738466262817,56.97,3.0931263858093123
2,1.2083844493865967,62.419999999999995,2.616407982261641
3,0.9532486445426941,65.69,2.450110864745011
4,0.7868213725090026,71.22,2.1507760532150777
5,0.686905218219757,75.57000000000001,1.9733924611973392
6,0.6194707949638367,78.72,1.7960088691796008
7,0.5791759841442108,80.44,1.5188470066518847
8,0.5355728407144547,82.35,1.4523281596452327
9,0.5166387810468673,83.2,1.4855875831485588
10,0.4891964259147644,84.3,1.2638580931263859
