round,client,update_norm,sent_update_norm,scale_ratio
1,0,1.8860474962059934,18.860475006342284,10.000000023478915
1,1,1.9885365392987122,1.9885365392987122,1.0
1,2,2.000821318178954,2.000821318178954,1.0
1,3,1.998905918572905,1.998905918572905,1.0
1,4,1.889810644372624,1.889810644372624,1.0
2,0,0.8297320444892868,8.297320438318435,9.999999992076438
2,1,1.1971595046060537,1.1971595046060537,1.0
2,2,1.3102125749551523,1.3102125749551523,1.0
2,3,1.2599491863494012,1.2599491863494012,1.0
2,4,1.23052812884321,1.23052812884321,1.0
3,0,1.2168358981903813,12.168358981770893,9.999999999890766
3,1,1.0090119604415224,1.0090119604415224,1.0
3,2,1.0102017320403966,1.0102017320403966,1.0
3,3,1.0276869807596372,1.0276869807596372,1.0
3,4,1.0252737728514383,1.0252737728514383,1.0
4,0,1.651196708144232,16.511967078915923,9.99999999846996
4,1,2.1296786071550655,2.1296786071550655,1.0
4,2,2.1659533435933294,2.1659533435933294,1.0
4,3,2.1570113227763055,2.1570113227763055,1.0
4,4,2.094307213839517,2.094307213839517,1.0
5,0,2.400699644159866,24.00699649888389,10.00000002386189
5,1,1.8749833971508252,1.8749833971508252,1.0
5,2,1.863794312024122,1.863794312024122,1.0
5,3,2.026387012198339,2.026387012198339,1.0
5,4,1.9900552147319268,1.9900552147319268,1.0
6,0,1.9729339171413847,19.72933918603164,10.000000007409167
6,1,2.320253805601776,2.320253805601776,1.0
6,2,2.400489488610032,2.400489488610032,1.0
6,3,2.362936439452853,2.362936439452853,1.0
6,4,2.364942235418692,2.364942235418692,1.0
7,0,2.3461704036950977,23.461703966469948,9.999999969959118
7,1,2.1346444973766703,2.1346444973766703,1.0
7,2,2.115845414561624,2.115845414561624,1.0
7,3,2.082999739081726,2.082999739081726,1.0
7,4,2.1323350629410087,2.1323350629410087,1.0
8,0,1.7316448673939224,17.31644865626438,9.999999989793032
8,1,2.044478867824383,2.044478867824383,1.0
8,2,2.1203975888148556,2.1203975888148556,1.0
8,3,2.0828425844522496,2.0828425844522496,1.0
8,4,2.0557558796979274,2.0557558796979274,1.0
9,0,2.437669993044484,24.37669993332703,10.000000001182354
9,1,2.0784687542835254,2.0784687542835254,1.0
9,2,2.0203574312763735,2.0203574312763735,1.0
9,3,2.1722863363076326,2.1722863363076326,1.0
9,4,2.1560162356171695,2.1560162356171695,1.0
10,0,1.8792913888656766,18.792913944793366,10.000000029871153
10,1,2.3036366982016383,2.3036366982016383,1.0
10,2,2.3725775666009787,2.3725775666009787,1.0
10,3,2.300901543712367,2.300901543712367,1.0
10,4,2.2512376289448124,2.2512376289448124,1.0
