round,loss,accuracy
1,1.4065005186080932,0.695
2,0.8098776597023011,0.8078
3,0.5868253953933715,0.8503
4,0.4907228549003601,0.8706
5,0.4371957778453827,0.8822
6,0.4018561148405075,0.8909
7,0.3802985396265984,0.895
8,0.3637828587651253,0.8972
9,0.34933947072029115,0.9017
10,0.3396742357134819,0.904
