round,loss,accuracy
1,1.6052849893569947,0.4048
2,1.1695979949951172,0.5941
3,0.9316441108703614,0.6983
4,0.7728676919460297,0.7379
5,0.6505073848247528,0.7751
6,0.5806650641441345,0.803
7,0.5523630997657776,0.8121
8,0.5134850035429,0.8288
9,0.49883505785465243,0.8356
10,0.45992653329372407,0.8541
