round,logical_id,submitted_update_l2,threshold,clip_factor,clipped_update_l2,reconstructed_update_l2
1,0,2.0770195998211465,2.055447494679632,0.9896139135406463,2.055447494679632,2.0554474936065845
1,1,2.044328544223218,2.055447494679632,1.0,2.044328544223218,2.044328544223218
1,2,2.055447494679632,2.055447494679632,1.0,2.055447494679632,2.055447494679632
1,3,1.9573301102001563,2.055447494679632,1.0,1.9573301102001563,1.9573301102001563
1,4,2.0481857208788448,2.055447494679632,1.0,2.0481857208788448,2.0481857208788448
1,5,2.0770195998211465,2.055447494679632,0.9896139135406463,2.055447494679632,2.0554474936065845
1,6,2.0770195998211465,2.055447494679632,0.9896139135406463,2.055447494679632,2.0554474936065845
2,0,1.2252818259774458,1.4068267375126668,1.0,1.2252818259774458,1.2252818259774458
2,1,1.6728591117429492,1.4068267375126668,0.8409714408327527,1.4068267375126668,1.4068267361839175
2,2,1.619395215278656,1.4068267375126668,0.8687358862367569,1.4068267375126668,1.4068267375491528
2,3,1.4068267375126668,1.4068267375126668,1.0,1.4068267375126668,1.4068267375126668
2,4,1.7611197899616309,1.4068267375126668,0.7988251256567375,1.4068267375126668,1.4068267345710102
2,5,1.2252818259774458,1.4068267375126668,1.0,1.2252818259774458,1.2252818259774458
2,6,1.2252818259774458,1.4068267375126668,1.0,1.2252818259774458,1.2252818259774458
3,0,0.7850154322938588,1.04829767374018,1.0,0.7850154322938588,0.7850154322938588
3,1,1.3429955369078626,1.04829767374018,0.7805667591076286,1.04829767374018,1.0482976750540036
3,2,1.2650217054341744,1.04829767374018,0.8286795943792826,1.0482976737401801,1.0482976746620607
3,3,1.04829767374018,1.04829767374018,1.0,1.04829767374018,1.04829767374018
3,4,1.5137974044487372,1.04829767374018,0.6924953568155487,1.04829767374018,1.0482976723441522
3,5,0.7850154322938588,1.04829767374018,1.0,0.7850154322938588,0.7850154322938588
3,6,0.7850154322938588,1.04829767374018,1.0,0.7850154322938588,0.7850154322938588
4,0,0.5929944546138931,0.8530412228322303,1.0,0.5929944546138931,0.5929944546138931
4,1,1.1317387146279771,0.8530412228322303,0.7537439621058118,0.8530412228322303,0.8530412247226202
4,2,1.0588250111684436,0.8530412228322303,0.8056489163312027,0.8530412228322303,0.8530412222080628
4,3,0.8530412228322303,0.8530412228322303,1.0,0.8530412228322303,0.8530412228322303
4,4,1.32753192975732,0.8530412228322303,0.6425768026447174,0.8530412228322303,0.8530412258077337
4,5,0.5929944546138931,0.8530412228322303,1.0,0.5929944546138931,0.5929944546138931
4,6,0.5929944546138931,0.8530412228322303,1.0,0.5929944546138931,0.5929944546138931
5,0,0.5013322495497984,0.7219539705657044,1.0,0.5013322495497984,0.5013322495497984
5,1,0.989258140938175,0.7219539705657044,0.7297933074182544,0.7219539705657044,0.7219539703907577
5,2,0.9374236097964264,0.7219539705657044,0.770146989067713,0.7219539705657044,0.7219539681508026
5,3,0.7219539705657044,0.7219539705657044,1.0,0.7219539705657044,0.7219539705657044
5,4,1.1896821452781463,0.7219539705657044,0.6068461003900436,0.7219539705657043,0.7219539675316379
5,5,0.5013322495497984,0.7219539705657044,1.0,0.5013322495497984,0.5013322495497984
5,6,0.5013322495497984,0.7219539705657044,1.0,0.5013322495497984,0.5013322495497984
6,0,0.44454863093609864,0.6401596423889861,1.0,0.44454863093609864,0.44454863093609864
6,1,0.8910750160014814,0.6401596423889861,0.7184127384264154,0.6401596423889863,0.6401596385551666
6,2,0.8545564017611434,0.6401596423889861,0.7491133892036734,0.6401596423889861,0.640159640923118
6,3,0.6401596423889861,0.6401596423889861,1.0,0.6401596423889861,0.6401596423889861
6,4,1.0909806728785683,0.6401596423889861,0.5867745032548703,0.640159642388986,0.6401596408508128
6,5,0.44454863093609864,0.6401596423889861,1.0,0.44454863093609864,0.44454863093609864
6,6,0.44454863093609864,0.6401596423889861,1.0,0.44454863093609864,0.44454863093609864
7,0,0.40533895275248777,0.5901920550673418,1.0,0.40533895275248777,0.40533895275248777
7,1,0.8222125983259642,0.5901920550673418,0.7178095498280868,0.5901920550673418,0.5901920531208346
7,2,0.7983623710825216,0.5901920550673418,0.739253347157487,0.5901920550673418,0.5901920538345659
7,3,0.5901920550673418,0.5901920550673418,1.0,0.5901920550673418,0.5901920550673418
7,4,1.0112339435007835,0.5901920550673418,0.5836355265371732,0.590192055067342,0.5901920581108966
7,5,0.40533895275248777,0.5901920550673418,1.0,0.40533895275248777,0.40533895275248777
