round,logical_id,submitted_update_l2,threshold,clip_factor,clipped_update_l2,reconstructed_update_l2
1,0,2.091309524064499,2.091309524064499,1.0,2.091309524064499,2.091309524064499
1,1,1.9203759177874384,2.091309524064499,1.0,1.9203759177874384,1.9203759177874384
1,2,2.113816914871285,2.091309524064499,0.9893522515368101,2.0913095240644988,2.091309524924329
1,3,2.064422140880596,2.091309524064499,1.0,2.064422140880596,2.064422140880596
1,4,2.1208953935973893,2.091309524064499,0.9860502928988366,2.091309524064499,2.0913095217563695
1,5,2.091309524064499,2.091309524064499,1.0,2.091309524064499,2.091309524064499
1,6,2.091309524064499,2.091309524064499,1.0,2.091309524064499,2.091309524064499
2,0,1.4894604707089478,1.4922201934122097,1.0,1.4894604707089478,1.4894604707089478
2,1,1.5371387132737566,1.4922201934122097,0.9707778358103539,1.4922201934122097,1.4922201938430024
2,2,1.6121078281787657,1.4922201934122097,0.925632992613158,1.4922201934122097,1.4922201927752377
2,3,1.493502068620312,1.4922201934122097,0.9991416984046855,1.4922201934122095,1.4922201952247258
2,4,1.4922201934122097,1.4922201934122097,1.0,1.4922201934122097,1.4922201934122097
2,5,1.4894604707089478,1.4922201934122097,1.0,1.4894604707089478,1.4894604707089478
2,6,1.4894604707089478,1.4922201934122097,1.0,1.4894604707089478,1.4894604707089478
3,0,0.983221592463203,1.0291279301276834,1.0,0.983221592463203,0.983221592463203
3,1,1.0829820331629394,1.0291279301276834,0.9502723947525052,1.0291279301276834,1.0291279352939635
3,2,1.1333563651162586,1.0291279301276834,0.9080356027489346,1.0291279301276834,1.0291279310234813
3,3,1.107843829186606,1.0291279301276834,0.928946754962099,1.0291279301276834,1.0291279277726362
3,4,1.0291279301276834,1.0291279301276834,1.0,1.0291279301276834,1.0291279301276834
3,5,0.983221592463203,1.0291279301276834,1.0,0.983221592463203,0.983221592463203
3,6,0.983221592463203,1.0291279301276834,1.0,0.983221592463203,0.983221592463203
4,0,0.7376687309324811,0.786800428951994,1.0,0.7376687309324811,0.7376687309324811
4,1,0.8382785860257042,0.786800428951994,0.9385906333146726,0.786800428951994,0.7868004317447165
4,2,0.8522343958737889,0.786800428951994,0.9232206922900524,0.786800428951994,0.7868004305370058
4,3,0.9052816920421631,0.786800428951994,0.8691222145198857,0.786800428951994,0.7868004208442982
4,4,0.786800428951994,0.786800428951994,1.0,0.786800428951994,0.786800428951994
4,5,0.7376687309324811,0.786800428951994,1.0,0.7376687309324811,0.7376687309324811
4,6,0.7376687309324811,0.786800428951994,1.0,0.7376687309324811,0.7376687309324811
5,0,0.6081587234393866,0.6641058632333331,1.0,0.6081587234393866,0.6081587234393866
5,1,0.6795621660777738,0.6641058632333331,0.9772554982958369,0.6641058632333331,0.6641058647496891
5,2,0.7059946706264791,0.6641058632333331,0.9406669637378776,0.6641058632333331,0.6641058635631675
5,3,0.7944275485430843,0.6641058632333331,0.8359552289585745,0.6641058632333331,0.6641058621569669
5,4,0.6641058632333331,0.6641058632333331,1.0,0.6641058632333331,0.6641058632333331
5,5,0.6081587234393866,0.6641058632333331,1.0,0.6081587234393866,0.6081587234393866
5,6,0.6081587234393866,0.6641058632333331,1.0,0.6081587234393866,0.6081587234393866
6,0,0.5420875699612444,0.5742334258556262,1.0,0.5420875699612444,0.5420875699612444
6,1,0.5742334258556262,0.5742334258556262,1.0,0.5742334258556262,0.5742334258556262
6,2,0.6061508670383642,0.5742334258556262,0.9473440641293055,0.5742334258556263,0.5742334267884214
6,3,0.7237428341420322,0.5742334258556262,0.793421915584638,0.5742334258556262,0.5742334283250842
6,4,0.5976388539476833,0.5742334258556262,0.9608368365988031,0.5742334258556262,0.5742334248924331
6,5,0.5420875699612444,0.5742334258556262,1.0,0.5420875699612444,0.5420875699612444
6,6,0.5420875699612444,0.5742334258556262,1.0,0.5420875699612444,0.5420875699612444
7,0,0.494439102111449,0.5094797587227003,1.0,0.494439102111449,0.494439102111449
7,1,0.5094797587227003,0.5094797587227003,1.0,0.5094797587227003,0.5094797587227003
7,2,0.5422637097950688,0.5094797587227003,0.9395424210025818,0.5094797587227003,0.5094797593441359
7,3,0.6728197572899699,0.5094797587227003,0.7572306746383582,0.5094797587227003,0.50947975293067
7,4,0.5542274463187926,0.5094797587227003,0.9192611483005602,0.5094797587227005,0.5094797632577303
7,5,0.494439102111449,0.5094797587227003,1.0,0.494439102111449,0.494439102111449
7,6,0.494439102111449,0.5094797587227003,1.0,0.494439102111449,0.494439102111449
8,0,0.4749362594165993,0.4749362594165993,1.0,0.4749362594165993,0.4749362594165993
8,1,0.46401849695901726,0.4749362594165993,1.0,0.46401849695901726,0.46401849695901726
8,2,0.501966624484214,0.4749362594165993,0.9461510711087828,0.4749362594165992,0.4749362649513597
8,3,0.639991581459914,0.4749362594165993,0.7420976668680556,0.4749362594165993,0.4749362606414761
8,4,0.5165749940550436,0.4749362594165993,0.919394598814035,0.47493625941659934,0.47493627061441196
8,5,0.4749362594165993,0.4749362594165993,1.0,0.4749362594165993,0.4749362594165993
8,6,0.4749362594165993,0.4749362594165993,1.0,0.4749362594165993,0.4749362594165993
9,0,0.44997978971397135,0.44997978971397135,1.0,0.44997978971397135,0.44997978971397135
9,1,0.4169813140210294,0.44997978971397135,1.0,0.4169813140210294,0.4169813140210294
9,2,0.47855189286428274,0.44997978971397135,0.9402946606703436,0.44997978971397135,0.44997979459741755
9,3,0.6266906356667578,0.44997978971397135,0.7180253926009639,0.4499797897139713,0.449979789239957
9,4,0.4931989803800238,0.44997978971397135,0.9123696674458839,0.44997978971397135,0.4499797901673116
9,5,0.44997978971397135,0.44997978971397135,1.0,0.44997978971397135,0.44997978971397135
9,6,0.44997978971397135,0.44997978971397135,1.0,0.44997978971397135,0.44997978971397135
10,0,0.4410186221747083,0.4410186221747083,1.0,0.4410186221747083,0.4410186221747083
