round,logical_id,submitted_update_l2,threshold,clip_factor,clipped_update_l2,reconstructed_update_l2
1,0,2.139479164174606,2.113816914871285,0.9880053754516364,2.113816914871285,2.1138169165169582
1,1,1.9203759177874384,2.113816914871285,1.0,1.9203759177874384,1.9203759177874384
1,2,2.113816914871285,2.113816914871285,1.0,2.113816914871285,2.113816914871285
1,3,2.064422140880596,2.113816914871285,1.0,2.064422140880596,2.064422140880596
1,4,2.1208953935973893,2.113816914871285,0.9966625045499777,2.113816914871285,2.113816909545505
2,0,1.7071419095725746,1.5496104001062339,0.9077220771260998,1.5496104001062339,1.5496103964823584
2,1,1.5496104001062339,1.5496104001062339,1.0,1.5496104001062339,1.5496104001062339
2,2,1.622459124928782,1.5496104001062339,0.9550998088622135,1.5496104001062336,1.549610398038034
2,3,1.4893390776888733,1.5496104001062339,1.0,1.4893390776888733,1.4893390776888733
2,4,1.5040207360768676,1.5496104001062339,1.0,1.5040207360768676,1.5040207360768676
3,0,1.3274272130104798,1.1068561994367845,0.8338357000581139,1.1068561994367847,1.1068562009277947
3,1,1.1015683135001877,1.1068561994367845,1.0,1.1015683135001877,1.1015683135001877
3,2,1.154522272705409,1.1068561994367845,0.9587135957481981,1.1068561994367845,1.106856199537527
3,3,1.1068561994367845,1.1068561994367845,1.0,1.1068561994367845,1.1068561994367845
3,4,1.0451282085443308,1.1068561994367845,1.0,1.0451282085443308,1.0451282085443308
4,0,1.1366692634918414,0.8662639101103541,0.7621072707193616,0.8662639101103542,0.8662639090658911
4,1,0.852456165191061,0.8662639101103541,1.0,0.852456165191061,0.852456165191061
4,2,0.8662639101103541,0.8662639101103541,1.0,0.8662639101103541,0.8662639101103541
4,3,0.8914171191709842,0.8662639101103541,0.9717828965591074,0.8662639101103539,0.8662639063895722
4,4,0.8009121884715261,0.8662639101103541,1.0,0.8009121884715261,0.8009121884715261
5,0,1.0239158120739151,0.713639174706968,0.6969705578249742,0.7136391747069681,0.7136391787820469
5,1,0.6892174862386896,0.713639174706968,1.0,0.6892174862386896,0.6892174862386896
5,2,0.713639174706968,0.713639174706968,1.0,0.713639174706968,0.713639174706968
5,3,0.7717915804412394,0.713639174706968,0.9246527077931775,0.713639174706968,0.7136391760262523
5,4,0.6763155937910091,0.713639174706968,1.0,0.6763155937910091,0.6763155937910091
6,0,0.9459644610078053,0.6125231164353886,0.6475117635844615,0.6125231164353886,0.6125231220767705
6,1,0.5830716252822914,0.6125231164353886,1.0,0.5830716252822914,0.5830716252822914
6,2,0.6125231164353886,0.6125231164353886,1.0,0.6125231164353886,0.6125231164353886
6,3,0.7000143266509843,0.6125231164353886,0.8750151148560458,0.6125231164353885,0.612523116928917
6,4,0.6091505610357966,0.6125231164353886,1.0,0.6091505610357966,0.6091505610357966
7,0,0.8918081193123454,0.5587836798145251,0.6265738870435398,0.558783679814525,0.5587836853018681
7,1,0.5173690753177895,0.5587836798145251,1.0,0.5173690753177895,0.5173690753177895
7,2,0.5475857905207268,0.5587836798145251,1.0,0.5475857905207268,0.5475857905207268
7,3,0.6503383278099508,0.5587836798145251,0.8592199720048166,0.5587836798145251,0.5587836761785699
7,4,0.5587836798145251,0.5587836798145251,1.0,0.5587836798145251,0.5587836798145251
8,0,0.8477687445760678,0.5197770275850617,0.6131118078019963,0.5197770275850616,0.519777027840561
8,1,0.4690291395514035,0.5197770275850617,1.0,0.4690291395514035,0.4690291395514035
8,2,0.5070341053983615,0.5197770275850617,1.0,0.5070341053983615,0.5070341053983615
8,3,0.6183351394108313,0.5197770275850617,0.8406072928029309,0.5197770275850617,0.5197770297233892
8,4,0.5197770275850617,0.5197770275850617,1.0,0.5197770275850617,0.5197770275850617
9,0,0.804043562331587,0.4922326282233735,0.6121964670620385,0.4922326282233735,0.49223262499941056
9,1,0.4219090669869176,0.4922326282233735,1.0,0.4219090669869176,0.4219090669869176
9,2,0.48193899189018474,0.4922326282233735,1.0,0.48193899189018474,0.48193899189018474
9,3,0.6049993622754766,0.4922326282233735,0.8136085075726798,0.4922326282233736,0.49223262927600614
9,4,0.4922326282233735,0.4922326282233735,1.0,0.4922326282233735,0.4922326282233735
10,0,0.7671110542192466,0.4946577913189255,0.6448320469353428,0.4946577913189255,0.4946577901069705
10,1,0.39811836391868094,0.4946577913189255,1.0,0.39811836391868094,0.39811836391868094
10,2,0.44923029888967175,0.4946577913189255,1.0,0.44923029888967175,0.44923029888967175
10,3,0.5744013608302045,0.4946577913189255,0.8611709947970483,0.49465779131892557,0.49465779061082343
10,4,0.4946577913189255,0.4946577913189255,1.0,0.4946577913189255,0.4946577913189255
