round,logical_id,submitted_update_l2,threshold,clip_factor,clipped_update_l2,reconstructed_update_l2
1,0,1.8385277487174838,,1.0,1.8385277487174838,1.8385277487174838
1,1,2.206205346382377,,1.0,2.206205346382377,2.206205346382377
1,2,1.6829868767025333,,1.0,1.6829868767025333,1.6829868767025333
1,3,2.071883582580222,,1.0,2.071883582580222,2.071883582580222
1,4,1.8671136933571217,,1.0,1.8671136933571217,1.8671136933571217
2,0,1.548526550464801,,1.0,1.548526550464801,1.548526550464801
2,1,1.7197862403211674,,1.0,1.7197862403211674,1.7197862403211674
2,2,1.4741533969055443,,1.0,1.4741533969055443,1.4741533969055443
2,3,1.5710136868893778,,1.0,1.5710136868893778,1.5710136868893778
2,4,1.4935111458561694,,1.0,1.4935111458561694,1.4935111458561694
3,0,1.1578411585659123,,1.0,1.1578411585659123,1.1578411585659123
3,1,1.2005014585286784,,1.0,1.2005014585286784,1.2005014585286784
3,2,1.2303168985689483,,1.0,1.2303168985689483,1.2303168985689483
3,3,1.0924623927835952,,1.0,1.0924623927835952,1.0924623927835952
3,4,1.1868667658802357,,1.0,1.1868667658802357,1.1868667658802357
4,0,0.9188606459305554,,1.0,0.9188606459305554,0.9188606459305554
4,1,0.927658149933126,,1.0,0.927658149933126,0.927658149933126
4,2,1.0515447034155407,,1.0,1.0515447034155407,1.0515447034155407
4,3,0.8485150844420607,,1.0,0.8485150844420607,0.8485150844420607
4,4,0.9954405852475883,,1.0,0.9954405852475883,0.9954405852475883
5,0,0.7820225683727787,,1.0,0.7820225683727787,0.7820225683727787
5,1,0.7712594826385033,,1.0,0.7712594826385033,0.7712594826385033
5,2,0.9427239548787362,,1.0,0.9427239548787362,0.9427239548787362
5,3,0.7119612666948462,,1.0,0.7119612666948462,0.7119612666948462
5,4,0.8527780308353415,,1.0,0.8527780308353415,0.8527780308353415
6,0,0.6831674280764294,,1.0,0.6831674280764294,0.6831674280764294
6,1,0.6865468271032915,,1.0,0.6865468271032915,0.6865468271032915
6,2,0.8479935756705387,,1.0,0.8479935756705387,0.8479935756705387
6,3,0.6470495900182578,,1.0,0.6470495900182578,0.6470495900182578
6,4,0.7509673026790081,,1.0,0.7509673026790081,0.7509673026790081
7,0,0.6297285585462749,,1.0,0.6297285585462749,0.6297285585462749
7,1,0.6300474132106165,,1.0,0.6300474132106165,0.6300474132106165
7,2,0.7876768652960916,,1.0,0.7876768652960916,0.7876768652960916
7,3,0.5973471617125615,,1.0,0.5973471617125615,0.5973471617125615
7,4,0.6828451896012819,,1.0,0.6828451896012819,0.6828451896012819
8,0,0.5806193464820476,,1.0,0.5806193464820476,0.5806193464820476
8,1,0.5785993280969762,,1.0,0.5785993280969762,0.5785993280969762
8,2,0.736896351213345,,1.0,0.736896351213345,0.736896351213345
8,3,0.5625059234608103,,1.0,0.5625059234608103,0.5625059234608103
8,4,0.632817846979463,,1.0,0.632817846979463,0.632817846979463
9,0,0.5277337373386256,,1.0,0.5277337373386256,0.5277337373386256
9,1,0.5504687713000654,,1.0,0.5504687713000654,0.5504687713000654
9,2,0.6831839092115131,,1.0,0.6831839092115131,0.6831839092115131
9,3,0.5613810824315698,,1.0,0.5613810824315698,0.5613810824315698
9,4,0.5783800125722307,,1.0,0.5783800125722307,0.5783800125722307
10,0,0.5007872986104369,,1.0,0.5007872986104369,0.5007872986104369
10,1,0.531525924066246,,1.0,0.531525924066246,0.531525924066246
10,2,0.6534686843694395,,1.0,0.6534686843694395,0.6534686843694395
10,3,0.5284518393395017,,1.0,0.5284518393395017,0.5284518393395017
10,4,0.5649028087816333,,1.0,0.5649028087816333,0.5649028087816333
