round,client,update_norm,sent_update_norm,scale_ratio
1,0,2.3612033675067385,23.612033648136826,9.999999988594562
1,1,1.8066489988742802,1.8066489988742802,1.0
1,2,1.874795296961971,1.874795296961971,1.0
1,3,1.7730937953170947,1.7730937953170947,1.0
1,4,1.0847577426352657,1.0847577426352657,1.0
2,0,0.8038304281381197,8.03830427858398,9.99999999652014
2,1,3.3965445694603766,3.3965445694603766,1.0
2,2,3.3059569316640807,3.3059569316640807,1.0
2,3,3.2844158234866456,3.2844158234866456,1.0
2,4,2.5623862360481735,2.5623862360481735,1.0
3,0,0.4331811012196107,4.331811016123384,10.000000009066131
3,1,1.8268844241373028,1.8268844241373028,1.0
3,2,1.7443999810935615,1.7443999810935615,1.0
3,3,1.6551828112851978,1.6551828112851978,1.0
3,4,1.4007969772968936,1.4007969772968936,1.0
4,0,0.43055175113671373,4.3055175150691385,10.000000008598272
4,1,1.1942423672976346,1.1942423672976346,1.0
4,2,1.149113112482823,1.149113112482823,1.0
4,3,1.080540458536971,1.080540458536971,1.0
4,4,0.9038044519214841,0.9038044519214841,1.0
5,0,0.8521383085987806,8.521383069718121,9.999999980907225
5,1,1.1697471817641467,1.1697471817641467,1.0
5,2,1.1023333390975731,1.1023333390975731,1.0
5,3,1.0214816763323116,1.0214816763323116,1.0
5,4,0.9364296108747906,0.9364296108747906,1.0
6,0,1.8587027096911235,18.58702702660052,9.999999962172156
6,1,1.8475909443269714,1.8475909443269714,1.0
6,2,1.8463552425912266,1.8463552425912266,1.0
6,3,1.9579296858248139,1.9579296858248139,1.0
6,4,1.549509925725456,1.549509925725456,1.0
7,0,3.0757391041801863,30.757390846798152,9.999999936599398
7,1,2.0874547078085626,2.0874547078085626,1.0
7,2,2.101939342679425,2.101939342679425,1.0
7,3,2.145556798777605,2.145556798777605,1.0
7,4,1.8135575658163434,1.8135575658163434,1.0
8,0,2.8024184141908126,28.024184425070754,10.000000101042238
8,1,3.3155842105544946,3.3155842105544946,1.0
8,2,3.1315745759936697,3.1315745759936697,1.0
8,3,3.2451344620839206,3.2451344620839206,1.0
8,4,2.8721834557506956,2.8721834557506956,1.0
9,0,2.297391735906901,22.97391732673161,9.999999985924298
9,1,2.5236474830196625,2.5236474830196625,1.0
9,2,2.274719968561606,2.274719968561606,1.0
9,3,2.4871648039718712,2.4871648039718712,1.0
9,4,2.099245493542946,2.099245493542946,1.0
10,0,2.8167720318612663,28.167720406062827,10.000000031046234
10,1,2.8089342739068033,2.8089342739068033,1.0
10,2,2.561946584682619,2.561946584682619,1.0
10,3,2.9284738782420936,2.9284738782420936,1.0
10,4,2.4326820861507494,2.4326820861507494,1.0
