round,clean_loss,clean_accuracy_percent,asr_percent
1,1.8448293684005737,37.87,9.523281596452328
2,1.4271576026916504,55.00000000000001,2.893569844789357
3,1.1362994897842407,61.29,1.6962305986696231
4,0.9236915349006652,68.67999999999999,1.4301552106430155
5,0.7708064603805542,74.83999999999999,1.3968957871396896
6,0.662981918144226,78.85,1.2084257206208426
7,0.5997630259037018,81.05,1.0753880266075388
8,0.5530925996780396,83.26,0.8980044345898004
9,0.5154665846586227,84.91,0.853658536585366
10,0.4903261667251587,85.67,0.8093126385809313
