setting,method,seed,round,group,expected_pairs,observed_pairs,cosine_mean,cosine_sample_sd,cosine_min,cosine_max,update_stage,status
clean,fedavg,43,8,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,43,8,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,43,9,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,43,9,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,43,9,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,43,10,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,43,10,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,43,10,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,1,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,44,1,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,1,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,2,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,44,2,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,2,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,3,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,44,3,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,3,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,4,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,44,4,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,4,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,5,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,44,5,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,5,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,6,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,44,6,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,6,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,7,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,44,7,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,7,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,8,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,44,8,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,8,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,9,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,44,9,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,9,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,44,10,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,44,10,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
