round,client,update_l2_norm
1,0,1.9357036680156572
1,1,2.2062053463823763
1,2,1.6829868767025329
1,3,2.0718835825802215
1,4,1.8671136933571213
1,5,1.9357036680156572
1,6,1.9357036680156572
2,0,1.5185207358649264
2,1,1.6373248966325185
2,2,1.5199755981530445
2,3,1.6329207739555909
2,4,1.4855278309352413
2,5,1.5185207358649264
2,6,1.5185207358649264
3,0,1.0625276700689847
3,1,1.1649688595474934
3,2,1.2209752012577033
3,3,1.2099240458904812
3,4,1.1443737650380412
3,5,1.0625276700689847
3,6,1.0625276700689847
4,0,0.8004439886023565
4,1,0.9111485674007442
4,2,0.9769321281388782
4,3,0.9793297402882577
4,4,0.9270081216714366
4,5,0.8004439886023565
4,6,0.8004439886023565
5,0,0.6359796046167365
5,1,0.7629362900830701
5,2,0.819630441294938
5,3,0.8331899177280819
5,4,0.7980946221915654
5,5,0.6359796046167365
5,6,0.6359796046167365
6,0,0.535379015149796
6,1,0.6750947020916007
6,2,0.7019268764304081
6,3,0.7545301021879287
6,4,0.7213336551979778
6,5,0.535379015149796
6,6,0.535379015149796
7,0,0.4694655248414368
7,1,0.6244318643296608
7,2,0.6287864040884922
7,3,0.6921157325525573
7,4,0.6664545310341701
7,5,0.4694655248414368
7,6,0.4694655248414368
8,0,0.41501113643613596
8,1,0.5774632001614303
8,2,0.5749476077502231
8,3,0.6504899658047437
8,4,0.6311045283290098
8,5,0.41501113643613596
8,6,0.41501113643613596
9,0,0.37462310015052525
9,1,0.5503692674039264
9,2,0.5315939162110335
9,3,0.6397099758833712
9,4,0.590445076392566
9,5,0.37462310015052525
9,6,0.37462310015052525
10,0,0.350177031604789
10,1,0.5322804196113311
10,2,0.5085909411109022
10,3,0.5981410211177315
10,4,0.5765774003446552
10,5,0.350177031604789
10,6,0.350177031604789
