round,client_i,client_j,pair_type,cosine_similarity
1,0,1,sybil_honest,0.48426280828587887
1,0,2,sybil_honest,0.23913873756120216
1,0,3,sybil_honest,0.1086021836813621
1,0,4,sybil_honest,0.2407519914446001
1,0,5,sybil_sybil,1.0
1,0,6,sybil_sybil,1.0
1,1,2,honest_honest,0.24857851442885773
1,1,3,honest_honest,0.40062357614223126
1,1,4,honest_honest,0.22301508033627943
1,1,5,sybil_honest,0.48426280828587887
1,1,6,sybil_honest,0.48426280828587887
1,2,3,honest_honest,0.368531030973694
1,2,4,honest_honest,0.3157404440915006
1,2,5,sybil_honest,0.23913873756120216
1,2,6,sybil_honest,0.23913873756120216
1,3,4,honest_honest,0.30372195901272636
1,3,5,sybil_honest,0.1086021836813621
1,3,6,sybil_honest,0.1086021836813621
1,4,5,sybil_honest,0.2407519914446001
1,4,6,sybil_honest,0.2407519914446001
1,5,6,sybil_sybil,1.0
2,0,1,sybil_honest,0.47480836290499945
2,0,2,sybil_honest,0.3618462214898158
2,0,3,sybil_honest,0.14835418106158357
2,0,4,sybil_honest,0.2546877489482907
2,0,5,sybil_sybil,1.0
2,0,6,sybil_sybil,1.0
2,1,2,honest_honest,0.31308064775270333
2,1,3,honest_honest,0.3424403915555082
2,1,4,honest_honest,0.291327742197932
2,1,5,sybil_honest,0.47480836290499945
2,1,6,sybil_honest,0.47480836290499945
2,2,3,honest_honest,0.4444353759774857
2,2,4,honest_honest,0.4154189188838858
2,2,5,sybil_honest,0.3618462214898158
2,2,6,sybil_honest,0.3618462214898158
2,3,4,honest_honest,0.39360195781163054
2,3,5,sybil_honest,0.14835418106158357
2,3,6,sybil_honest,0.14835418106158357
2,4,5,sybil_honest,0.2546877489482907
2,4,6,sybil_honest,0.2546877489482907
2,5,6,sybil_sybil,1.0
3,0,1,sybil_honest,0.4005938897443446
3,0,2,sybil_honest,0.3548363447924803
3,0,3,sybil_honest,0.10343619506947574
3,0,4,sybil_honest,0.18321582770008232
