round,effective_participants,max_group_size,effective_attacker_coalition_weight,honest_identities_in_nonsingleton_groups,honest_honest_pairs_grouped,mixed_groups
1,7,1,0.42857142857142855,0,0,0
2,7,1,0.42857142857142855,0,0,0
3,7,1,0.42857142857142855,0,0,0
4,7,1,0.42857142857142855,0,0,0
5,7,1,0.42857142857142855,0,0,0
6,7,1,0.42857142857142855,0,0,0
7,7,1,0.42857142857142855,0,0,0
8,7,1,0.42857142857142855,0,0,0
9,7,1,0.42857142857142855,0,0,0
10,7,1,0.42857142857142855,0,0,0
