round,clean_loss,clean_accuracy_percent,asr_percent
1,1.850082148551941,46.53,78.27050997782705
2,1.3910564756393433,56.830000000000005,74.6119733924612
3,1.0961591390609742,63.93,85.5210643015521
4,0.9103080774307251,68.58,91.34146341463415
5,0.7687647069931031,73.37,95.72062084257206
6,0.6851523104190826,76.63,97.40576496674058
7,0.6195950668811798,79.35,98.19290465631929
8,0.5738144920349121,81.39999999999999,98.92461197339246
9,0.5347575238227844,83.12,99.07982261640798
10,0.5070603949546814,84.06,99.25720620842571
