round,logical_id,submitted_update_l2,threshold,clip_factor,clipped_update_l2,reconstructed_update_l2
1,0,2.091309524064499,,1.0,2.091309524064499,2.091309524064499
1,1,1.9203759177874384,,1.0,1.9203759177874384,1.9203759177874384
1,2,2.113816914871285,,1.0,2.113816914871285,2.113816914871285
1,3,2.064422140880596,,1.0,2.064422140880596,2.064422140880596
1,4,2.1208953935973893,,1.0,2.1208953935973893,2.1208953935973893
1,5,2.091309524064499,,1.0,2.091309524064499,2.091309524064499
1,6,2.091309524064499,,1.0,2.091309524064499,2.091309524064499
2,0,1.1674667344612255,,1.0,1.1674667344612255,1.1674667344612255
2,1,1.6729223116850347,,1.0,1.6729223116850347,1.6729223116850347
2,2,1.6903293831089525,,1.0,1.6903293831089525,1.6903293831089525
2,3,1.7602303020788783,,1.0,1.7602303020788783,1.7602303020788783
2,4,1.6933884483511352,,1.0,1.6933884483511352,1.6933884483511352
2,5,1.1674667344612255,,1.0,1.1674667344612255,1.1674667344612255
2,6,1.1674667344612255,,1.0,1.1674667344612255,1.1674667344612255
3,0,0.628858670782148,,1.0,0.628858670782148,0.628858670782148
3,1,1.4446312516055677,,1.0,1.4446312516055677,1.4446312516055677
3,2,1.4348880597173241,,1.0,1.4348880597173241,1.4348880597173241
3,3,1.567315097030218,,1.0,1.567315097030218,1.567315097030218
3,4,1.4238667093528832,,1.0,1.4238667093528832,1.4238667093528832
3,5,0.628858670782148,,1.0,0.628858670782148,0.628858670782148
3,6,0.628858670782148,,1.0,0.628858670782148,0.628858670782148
4,0,0.43901586172482676,,1.0,0.43901586172482676,0.43901586172482676
4,1,1.323512115883136,,1.0,1.323512115883136,1.323512115883136
4,2,1.3033022247452444,,1.0,1.3033022247452444,1.3033022247452444
4,3,1.4533753712014479,,1.0,1.4533753712014479,1.4533753712014479
4,4,1.259038254442986,,1.0,1.259038254442986,1.259038254442986
4,5,0.43901586172482676,,1.0,0.43901586172482676,0.43901586172482676
4,6,0.43901586172482676,,1.0,0.43901586172482676,0.43901586172482676
5,0,0.3423855914924621,,1.0,0.3423855914924621,0.3423855914924621
5,1,1.2124940906370132,,1.0,1.2124940906370132,1.2124940906370132
5,2,1.219385413768389,,1.0,1.219385413768389,1.219385413768389
5,3,1.3777107957634882,,1.0,1.3777107957634882,1.3777107957634882
5,4,1.1432942716096326,,1.0,1.1432942716096326,1.1432942716096326
5,5,0.3423855914924621,,1.0,0.3423855914924621,0.3423855914924621
5,6,0.3423855914924621,,1.0,0.3423855914924621,0.3423855914924621
6,0,0.293918839673566,,1.0,0.293918839673566,0.293918839673566
6,1,1.1211615400287045,,1.0,1.1211615400287045,1.1211615400287045
6,2,1.1407471176807147,,1.0,1.1407471176807147,1.1407471176807147
6,3,1.3057559022684557,,1.0,1.3057559022684557,1.3057559022684557
6,4,1.0533766136748488,,1.0,1.0533766136748488,1.0533766136748488
6,5,0.293918839673566,,1.0,0.293918839673566,0.293918839673566
6,6,0.293918839673566,,1.0,0.293918839673566,0.293918839673566
7,0,0.26186834706673623,,1.0,0.26186834706673623,0.26186834706673623
7,1,1.0540969365201613,,1.0,1.0540969365201613,1.0540969365201613
7,2,1.07828486979859,,1.0,1.07828486979859,1.07828486979859
7,3,1.2450189870605188,,1.0,1.2450189870605188,1.2450189870605188
7,4,0.9893944726739403,,1.0,0.9893944726739403,0.9893944726739403
7,5,0.26186834706673623,,1.0,0.26186834706673623,0.26186834706673623
7,6,0.26186834706673623,,1.0,0.26186834706673623,0.26186834706673623
8,0,0.24907806364687782,,1.0,0.24907806364687782,0.24907806364687782
8,1,0.9992827007331618,,1.0,0.9992827007331618,0.9992827007331618
8,2,1.0307514178862434,,1.0,1.0307514178862434,1.0307514178862434
8,3,1.1998409681227837,,1.0,1.1998409681227837,1.1998409681227837
8,4,0.9258021252762353,,1.0,0.9258021252762353,0.9258021252762353
8,5,0.24907806364687782,,1.0,0.24907806364687782,0.24907806364687782
8,6,0.24907806364687782,,1.0,0.24907806364687782,0.24907806364687782
9,0,0.22995366531069303,,1.0,0.22995366531069303,0.22995366531069303
9,1,0.9321744664865214,,1.0,0.9321744664865214,0.9321744664865214
9,2,0.9875705447551101,,1.0,0.9875705447551101,0.9875705447551101
9,3,1.1618255312693375,,1.0,1.1618255312693375,1.1618255312693375
9,4,0.8785440872803422,,1.0,0.8785440872803422,0.8785440872803422
9,5,0.22995366531069303,,1.0,0.22995366531069303,0.22995366531069303
9,6,0.22995366531069303,,1.0,0.22995366531069303,0.22995366531069303
10,0,0.23274512771041903,,1.0,0.23274512771041903,0.23274512771041903
10,1,0.9125566964054652,,1.0,0.9125566964054652,0.9125566964054652
10,2,0.946115030081452,,1.0,0.946115030081452,0.946115030081452
10,3,1.1221813632723088,,1.0,1.1221813632723088,1.1221813632723088
10,4,0.8512826685868055,,1.0,0.8512826685868055,0.8512826685868055
10,5,0.23274512771041903,,1.0,0.23274512771041903,0.23274512771041903
10,6,0.23274512771041903,,1.0,0.23274512771041903,0.23274512771041903
