round,loss,accuracy
1,1.4473702907562256,0.7362
2,0.7824388742446899,0.8314
3,0.5650146007537842,0.8642
4,0.4698249101638794,0.8807
5,0.419026643037796,0.8899
6,0.38727667927742004,0.8958
7,0.36457857489585876,0.9014
8,0.34927451610565186,0.9026
9,0.3370664417743683,0.9044
10,0.327149361371994,0.9073
