round,loss,accuracy
1,2.0281715393066406,0.2899
2,1.8078867197036743,0.3535
3,1.6144709587097168,0.4343
4,1.4707237482070923,0.4917
5,1.3576297760009766,0.5386
6,1.270334243774414,0.5695
7,1.2019217014312744,0.5957
8,1.1485341787338257,0.6184
9,1.1081416606903076,0.6336
10,1.0628814697265625,0.6511
