round,client,update_l2_norm
1,0,2.033024540916034
1,1,2.0443285442232173
1,2,2.0554474946796315
1,3,1.9573301102001557
1,4,2.0481857208788443
1,5,2.033024540916034
1,6,2.033024540916034
2,0,1.3870571337045192
2,1,1.6976644655387714
2,2,1.645993375996564
2,3,1.4424765743873385
2,4,1.765889662363329
2,5,1.3870571337045192
2,6,1.3870571337045192
3,0,0.9664898857463922
3,1,1.330292312576143
3,2,1.2520470252850013
3,3,1.0660617616256682
3,4,1.4631253556436192
3,5,0.9664898857463922
3,6,0.9664898857463922
4,0,0.741334624413694
4,1,1.0822141536092047
4,2,1.019796711090632
4,3,0.8523041197944206
4,4,1.2269387338366082
4,5,0.741334624413694
4,6,0.741334624413694
5,0,0.611967138977856
5,1,0.9205187524335927
5,2,0.8872684515677104
5,3,0.7136844489929561
5,4,1.058902084162829
5,5,0.611967138977856
5,6,0.611967138977856
6,0,0.5289859707869484
6,1,0.8092374460162207
6,2,0.7967329315790004
6,3,0.6252617238410962
6,4,0.9491093140270727
6,5,0.5289859707869484
6,6,0.5289859707869484
7,0,0.4768289358416237
7,1,0.73966380223998
7,2,0.7380220705300966
7,3,0.5800973261676851
7,4,0.8627092766051233
7,5,0.4768289358416237
7,6,0.4768289358416237
8,0,0.44258654854501345
8,1,0.6786799701897454
8,2,0.6872867052292615
8,3,0.5347394302213935
8,4,0.8103016641249652
8,5,0.44258654854501345
8,6,0.44258654854501345
9,0,0.40884223175710704
9,1,0.6317575530598202
9,2,0.6573580963622363
9,3,0.49506280029907285
9,4,0.764251112933943
9,5,0.40884223175710704
9,6,0.40884223175710704
10,0,0.3933406635461543
10,1,0.6050802606168338
10,2,0.6264766948407634
10,3,0.4826462501383064
10,4,0.7438048344434035
10,5,0.3933406635461543
10,6,0.3933406635461543
