round,clean_loss,clean_accuracy_percent,asr_percent
1,2.182053739929199,39.22,15.055432372505543
2,2.188470057678223,44.080000000000005,4.34589800443459
3,2.0228047340393065,44.91,3.902439024390244
4,1.8506977519989014,45.410000000000004,3.5476718403547673
5,1.7177962194442749,46.27,3.891352549889135
6,1.6180155445098876,48.07,3.303769401330377
7,1.5494768394470215,49.69,3.048780487804878
8,1.5082093969345092,51.21,2.694013303769401
9,1.4610313890457154,53.04,2.4722838137472283
10,1.4003561195373535,54.49,2.2838137472283813
