round,loss,accuracy
1,1.3939343690872192,0.7342999999999998
2,0.7706208825111389,0.8348
3,0.5626378655433655,0.8665
4,0.4751974046230316,0.8802
5,0.4247193932533264,0.8893
6,0.3922574818134308,0.8936
7,0.3699939250946045,0.8985
8,0.35353395342826843,0.9015
9,0.3398546576499939,0.9046
10,0.3322380483150482,0.9058
