round,clean_loss,clean_accuracy_percent,asr_percent
1,1.73814554977417,51.43,12.272727272727273
2,1.209351704597473,63.519999999999996,4.800443458980045
3,0.8623943913459777,73.02,2.915742793791574
4,0.6677576869010925,79.92,2.0953436807095343
5,0.5769658535003662,82.87,2.0288248337028825
6,0.5083880160570144,85.69,1.662971175166297
7,0.47250335373878477,86.58,1.6407982261640797
8,0.43921033318042757,87.64,1.4079822616407982
9,0.42564287762641906,87.98,1.4190687361419068
10,0.3984522608399391,88.98,1.2195121951219512
