experiment,alpha,scale,clean_accuracy_mean,clean_accuracy_sample_std,poisoned_accuracy_mean,poisoned_accuracy_sample_std,clean_loss_mean,clean_loss_sample_std,poisoned_loss_mean,poisoned_loss_sample_std,accuracy_damage_pp_mean,accuracy_damage_pp_sample_std,loss_damage_mean,loss_damage_sample_std
A,0.01,10,0.6996333333333333,0.06302843273740298,0.4320333333333333,0.33448650695257254,0.9066679565111796,0.12002874212866457,14.02432421019872,22.146410969179584,26.76,27.874009399438762,13.11765625368754,22.044926784901726
A,0.1,10,0.8286666666666667,0.06240932088505153,0.48646666666666666,0.3181593049611049,0.5273773889541626,0.12216798116901018,5.108008976268768,6.181720215058144,34.22,30.083410710888487,4.580631587314606,6.062499875731125
A,1,10,0.9058,0.001571623364550164,0.422,0.24152418098401657,0.3339846286078294,0.0052648661672928905,6.980334781074524,5.944532551025501,48.379999999999995,24.110435500007046,6.646350152466694,5.942523085648896
A,10,10,0.9092,0.0007000000000000339,0.2820666666666667,0.1829531178562785,0.3240398901085059,0.0020354820276472663,10.889774990081786,9.149970172968839,62.71333333333333,18.330058192306243,10.565735099973281,9.148193148815826
A,100,10,0.9093333333333333,0.0007023769168568825,0.26253333333333334,0.04444933445321012,0.3224311127404372,0.0017209417207882743,8.199926867167155,1.5300034418934394,64.68,4.450966187245194,7.877495754426718,1.5284944387929482
B,0.1,1,0.8286666666666667,0.06240932088505153,0.8286666666666667,0.06240932088505153,0.5273773889541626,0.12216798116901018,0.5273773996750514,0.122167962600228,0.0,0.0,1.0720888787840721e-08,2.1478726513257214e-08
B,0.1,2,0.8286666666666667,0.06240932088505153,0.8158333333333333,0.05948624490866215,0.5273773889541626,0.12216798116901018,0.5608445355733236,0.1606225224480498,1.2833333333333363,1.4998777727979504,0.03346714661916097,0.040209692811179795
B,0.1,5,0.8286666666666667,0.06240932088505153,0.7786666666666667,0.08811301455138923,0.5273773889541626,0.12216798116901018,0.6643372589588166,0.2572210487712172,4.999999999999997,4.451381807933356,0.1369598700046539,0.143545168649933
B,0.1,10,0.8286666666666667,0.06240932088505153,0.48646666666666666,0.3181593049611049,0.5273773889541626,0.12216798116901018,5.108008976268768,6.181720215058144,34.22,30.083410710888487,4.580631587314606,6.062499875731125
B,0.1,20,0.8286666666666667,0.06240932088505153,0.4281666666666667,0.3787219736605381,0.5273773889541626,0.12216798116901018,22.89700089553992,27.508122802027724,40.05,37.95415524023687,22.369623506585757,27.543918783859368
