round,client_i,client_j,pair_type,cosine_similarity
1,0,1,sybil_honest,0.48364177167072886
1,0,2,sybil_honest,0.5509544223187031
1,0,3,sybil_honest,0.2134644016733201
1,0,4,sybil_honest,0.3761201991105025
1,0,5,sybil_sybil,1.0
1,0,6,sybil_sybil,1.0
1,1,2,honest_honest,0.28985310831321776
1,1,3,honest_honest,0.33821505303078353
1,1,4,honest_honest,0.7475851525865043
1,1,5,sybil_honest,0.48364177167072886
1,1,6,sybil_honest,0.48364177167072886
1,2,3,honest_honest,0.5079508368007271
1,2,4,honest_honest,0.33855197917345825
1,2,5,sybil_honest,0.5509544223187031
1,2,6,sybil_honest,0.5509544223187031
1,3,4,honest_honest,0.09094499012537083
1,3,5,sybil_honest,0.2134644016733201
1,3,6,sybil_honest,0.2134644016733201
1,4,5,sybil_honest,0.3761201991105025
1,4,6,sybil_honest,0.3761201991105025
1,5,6,sybil_sybil,1.0
2,0,1,sybil_honest,0.5205029694757615
2,0,2,sybil_honest,0.5075176911726185
2,0,3,sybil_honest,0.21632999033199463
2,0,4,sybil_honest,0.3794215531008682
2,0,5,sybil_sybil,1.0
2,0,6,sybil_sybil,1.0
2,1,2,honest_honest,0.4439847188900694
2,1,3,honest_honest,0.42342418074460797
2,1,4,honest_honest,0.7839485833792279
2,1,5,sybil_honest,0.5205029694757615
2,1,6,sybil_honest,0.5205029694757615
2,2,3,honest_honest,0.5231412287277868
2,2,4,honest_honest,0.393526080923564
2,2,5,sybil_honest,0.5075176911726185
2,2,6,sybil_honest,0.5075176911726185
2,3,4,honest_honest,0.0758533389556659
2,3,5,sybil_honest,0.21632999033199463
2,3,6,sybil_honest,0.21632999033199463
2,4,5,sybil_honest,0.3794215531008682
2,4,6,sybil_honest,0.3794215531008682
2,5,6,sybil_sybil,1.0
3,0,1,sybil_honest,0.3901723044390757
3,0,2,sybil_honest,0.33790194123048684
3,0,3,sybil_honest,0.05390876293521732
3,0,4,sybil_honest,0.2693269383120161
3,0,5,sybil_sybil,0.9999999999999999
3,0,6,sybil_sybil,0.9999999999999999
3,1,2,honest_honest,0.4243696203402766
3,1,3,honest_honest,0.3812791182228762
3,1,4,honest_honest,0.7642075024763098
3,1,5,sybil_honest,0.3901723044390757
3,1,6,sybil_honest,0.3901723044390757
3,2,3,honest_honest,0.49611826729711966
3,2,4,honest_honest,0.35659051394033414
3,2,5,sybil_honest,0.33790194123048684
3,2,6,sybil_honest,0.33790194123048684
3,3,4,honest_honest,0.009651783895936746
3,3,5,sybil_honest,0.05390876293521732
3,3,6,sybil_honest,0.05390876293521732
3,4,5,sybil_honest,0.2693269383120161
3,4,6,sybil_honest,0.2693269383120161
3,5,6,sybil_sybil,0.9999999999999999
4,0,1,sybil_honest,0.2413937777129822
4,0,2,sybil_honest,0.19809446694686117
4,0,3,sybil_honest,-0.08107964448669254
4,0,4,sybil_honest,0.1261300723419622
4,0,5,sybil_sybil,1.0
4,0,6,sybil_sybil,1.0
4,1,2,honest_honest,0.363800234476078
4,1,3,honest_honest,0.34896782117540426
4,1,4,honest_honest,0.7211047607731795
4,1,5,sybil_honest,0.2413937777129822
4,1,6,sybil_honest,0.2413937777129822
4,2,3,honest_honest,0.47498828879589483
4,2,4,honest_honest,0.27902994327771047
4,2,5,sybil_honest,0.19809446694686117
4,2,6,sybil_honest,0.19809446694686117
4,3,4,honest_honest,-0.03949916172277844
4,3,5,sybil_honest,-0.08107964448669254
4,3,6,sybil_honest,-0.08107964448669254
4,4,5,sybil_honest,0.1261300723419622
4,4,6,sybil_honest,0.1261300723419622
4,5,6,sybil_sybil,1.0
5,0,1,sybil_honest,0.1365701324729333
5,0,2,sybil_honest,0.09551680955103548
5,0,3,sybil_honest,-0.18725131219801314
5,0,4,sybil_honest,0.03976502741919259
5,0,5,sybil_sybil,1.0
5,0,6,sybil_sybil,1.0
5,1,2,honest_honest,0.3016394115249326
5,1,3,honest_honest,0.3154366164636939
5,1,4,honest_honest,0.6830896228013603
5,1,5,sybil_honest,0.1365701324729333
