round,client,update_l2_norm
1,0,2.0913095240644983
1,1,1.920375917787438
1,2,2.113816914871284
1,3,2.0644221408805956
1,4,2.120895393597389
1,5,2.0913095240644983
1,6,2.0913095240644983
2,0,1.276292731862589
2,1,1.5744840078242934
2,2,1.6195836996195234
2,3,1.5962949235121455
2,4,1.5647063762861724
2,5,1.276292731862589
2,6,1.276292731862589
3,0,0.7557294033654627
3,1,1.1715689576515453
3,2,1.192329015738831
3,3,1.2483372615339987
3,4,1.1345429691303135
3,5,0.7557294033654627
3,6,0.7557294033654627
4,0,0.5496550690492532
4,1,0.9430782259941365
4,2,0.9363657367935766
4,3,1.038769595142219
4,4,0.8924707317446676
4,5,0.5496550690492532
4,6,0.5496550690492532
5,0,0.45098625474249343
5,1,0.7833026640299571
5,2,0.7881210072760604
5,3,0.9138183907800402
5,4,0.7596701329230225
5,5,0.45098625474249343
5,6,0.45098625474249343
6,0,0.40699561665991946
6,1,0.6733614913244587
6,2,0.6814055839873809
6,3,0.8261254188201258
6,4,0.6808222511444992
6,5,0.40699561665991946
6,6,0.40699561665991946
7,0,0.37390489969169743
7,1,0.605251059253794
7,2,0.6115313967484236
7,3,0.7642501199224717
7,4,0.6302307544636326
7,5,0.37390489969169743
7,6,0.37390489969169743
8,0,0.3638423742203029
8,1,0.5550272193781957
8,2,0.5657471802372903
8,3,0.7212493989361752
8,4,0.5849943919012311
8,5,0.3638423742203029
8,6,0.3638423742203029
9,0,0.3436873693315374
9,1,0.49919225292284125
9,2,0.5369250390273558
9,3,0.6994161133189146
9,4,0.5586815875493096
9,5,0.3436873693315374
9,6,0.3436873693315374
10,0,0.34242232640145864
10,1,0.4821704926532527
10,2,0.5008618576609811
10,3,0.6635042030638523
10,4,0.5552290293941273
10,5,0.34242232640145864
10,6,0.34242232640145864
