round,client_i,client_j,pair_type,cosine_similarity
8,0,2,sybil_honest,0.2019206333380152
8,0,3,sybil_honest,-0.232350000126409
8,0,4,sybil_honest,-0.21276370006595607
8,0,5,sybil_sybil,0.9999999999999998
8,0,6,sybil_sybil,0.9999999999999998
8,1,2,honest_honest,-0.16766276065023192
8,1,3,honest_honest,-0.14883735603026588
8,1,4,honest_honest,0.08467912540369311
8,1,5,sybil_honest,0.14460982467046482
8,1,6,sybil_honest,0.14460982467046482
8,2,3,honest_honest,0.16792237318766334
8,2,4,honest_honest,0.233357798894547
8,2,5,sybil_honest,0.2019206333380152
8,2,6,sybil_honest,0.2019206333380152
8,3,4,honest_honest,0.17265413947308916
8,3,5,sybil_honest,-0.232350000126409
8,3,6,sybil_honest,-0.232350000126409
8,4,5,sybil_honest,-0.21276370006595607
8,4,6,sybil_honest,-0.21276370006595607
8,5,6,sybil_sybil,0.9999999999999998
9,0,1,sybil_honest,0.1532176205337605
9,0,2,sybil_honest,0.1191130475629153
9,0,3,sybil_honest,-0.2492562416735215
9,0,4,sybil_honest,-0.277074295095386
9,0,5,sybil_sybil,0.9999999999999999
9,0,6,sybil_sybil,0.9999999999999999
9,1,2,honest_honest,-0.21911670944610145
9,1,3,honest_honest,-0.14369928402652712
9,1,4,honest_honest,0.07863077172976524
9,1,5,sybil_honest,0.1532176205337605
9,1,6,sybil_honest,0.1532176205337605
9,2,3,honest_honest,0.13101369627889822
9,2,4,honest_honest,0.22099499083963747
9,2,5,sybil_honest,0.1191130475629153
9,2,6,sybil_honest,0.1191130475629153
9,3,4,honest_honest,0.14349070863517588
9,3,5,sybil_honest,-0.2492562416735215
9,3,6,sybil_honest,-0.2492562416735215
9,4,5,sybil_honest,-0.277074295095386
9,4,6,sybil_honest,-0.277074295095386
9,5,6,sybil_sybil,0.9999999999999999
10,0,1,sybil_honest,0.12260950340674696
10,0,2,sybil_honest,0.09380999484083427
10,0,3,sybil_honest,-0.2980463248583232
10,0,4,sybil_honest,-0.296055385249283
10,0,5,sybil_sybil,1.0
10,0,6,sybil_sybil,1.0
10,1,2,honest_honest,-0.20700574644867342
10,1,3,honest_honest,-0.17069149435097972
10,1,4,honest_honest,0.016013712114529566
10,1,5,sybil_honest,0.12260950340674696
10,1,6,sybil_honest,0.12260950340674696
10,2,3,honest_honest,0.09204927659867787
10,2,4,honest_honest,0.17946383406935343
10,2,5,sybil_honest,0.09380999484083427
10,2,6,sybil_honest,0.09380999484083427
10,3,4,honest_honest,0.11629469593352255
10,3,5,sybil_honest,-0.2980463248583232
10,3,6,sybil_honest,-0.2980463248583232
10,4,5,sybil_honest,-0.296055385249283
10,4,6,sybil_honest,-0.296055385249283
10,5,6,sybil_sybil,1.0
