round,client,update_l2_norm
1,0,1.8385277487174834
1,1,2.2062053463823763
1,2,1.6829868767025329
1,3,2.0718835825802215
1,4,1.8671136933571213
1,5,1.8385277487174834
1,6,1.8385277487174834
2,0,1.2943598760963972
2,1,1.5740172089639115
2,2,1.4896176795778127
2,3,1.6024300734179644
2,4,1.5616754640937593
2,5,1.2943598760963972
2,6,1.2943598760963972
3,0,0.8944392750563461
3,1,1.0988955795905375
3,2,1.1962129051983312
3,3,1.1666300814010317
3,4,1.2653369886219874
3,5,0.8944392750563461
3,6,0.8944392750563461
4,0,0.6895908271321358
4,1,0.8564292694238845
4,2,0.9597349037862215
4,3,0.9447898787645007
4,4,1.05840481844021
4,5,0.6895908271321358
4,6,0.6895908271321358
5,0,0.5730056380144161
5,1,0.7196499732844865
5,2,0.8049061984576599
5,3,0.8051404552543535
5,4,0.9177585223402237
5,5,0.5730056380144161
5,6,0.5730056380144161
6,0,0.48587991674788
6,1,0.6396927132293737
6,2,0.689232547654203
6,3,0.7364626756099174
6,4,0.8200945491431056
6,5,0.48587991674788
6,6,0.48587991674788
7,0,0.4441489828185235
7,1,0.5905560617390347
7,2,0.6145996479842502
7,3,0.6754381405668394
7,4,0.7490799185193143
7,5,0.4441489828185235
7,6,0.4441489828185235
8,0,0.4033906345466406
8,1,0.5498282392016068
8,2,0.5609242872417233
8,3,0.6379103558066566
8,4,0.6981786519245132
8,5,0.4033906345466406
8,6,0.4033906345466406
9,0,0.36973304374576105
9,1,0.5269181761900124
9,2,0.5218384944053288
9,3,0.6313542627508253
9,4,0.6461833630328154
9,5,0.36973304374576105
9,6,0.36973304374576105
10,0,0.35318423495488577
10,1,0.509060529258174
10,2,0.500616699415839
10,3,0.5914734492348747
10,4,0.629594759797774
10,5,0.35318423495488577
10,6,0.35318423495488577
