round,clean_loss,clean_accuracy_percent,asr_percent
1,1.6435878623962403,56.940000000000005,3.11529933481153
2,1.2155500926971436,62.480000000000004,2.5720620842572064
3,0.9741383137702941,65.42,2.350332594235033
4,0.8185101822853088,70.12,2.0509977827051
5,0.7208608975410461,73.92,1.9068736141906875
6,0.6508626771450042,76.59,1.707317073170732
7,0.6081539736747742,78.59,1.5742793791574279
8,0.566267050075531,80.38,1.4745011086474502
9,0.5511306477546691,81.14,1.4855875831485588
10,0.5231612736701965,82.43,1.252771618625277
