round,logical_id,submitted_update_l2,threshold,clip_factor,clipped_update_l2,reconstructed_update_l2
1,0,1.9357036680156574,,1.0,1.9357036680156574,1.9357036680156574
1,1,2.206205346382377,,1.0,2.206205346382377,2.206205346382377
1,2,1.6829868767025333,,1.0,1.6829868767025333,1.6829868767025333
1,3,2.071883582580222,,1.0,2.071883582580222,2.071883582580222
1,4,1.8671136933571217,,1.0,1.8671136933571217,1.8671136933571217
2,0,1.8085991081316615,,1.0,1.8085991081316615,1.8085991081316615
2,1,1.740629020672791,,1.0,1.740629020672791,1.740629020672791
2,2,1.4882270355122198,,1.0,1.4882270355122198,1.4882270355122198
2,3,1.6010442139585648,,1.0,1.6010442139585648,1.6010442139585648
2,4,1.4716240951320139,,1.0,1.4716240951320139,1.4716240951320139
3,0,1.581795030321168,,1.0,1.581795030321168,1.581795030321168
3,1,1.230093265796537,,1.0,1.230093265796537,1.230093265796537
3,2,1.2411767164717276,,1.0,1.2411767164717276,1.2411767164717276
3,3,1.1484928851415581,,1.0,1.1484928851415581,1.1484928851415581
3,4,1.1255881306045807,,1.0,1.1255881306045807,1.1255881306045807
4,0,1.4655637779874104,,1.0,1.4655637779874104,1.4655637779874104
4,1,0.9572632556074325,,1.0,0.9572632556074325,0.9572632556074325
4,2,1.0575941529338801,,1.0,1.0575941529338801,1.0575941529338801
4,3,0.9012089794976617,,1.0,0.9012089794976617,0.9012089794976617
4,4,0.9012847389548243,,1.0,0.9012847389548243,0.9012847389548243
5,0,1.415683717778862,,1.0,1.415683717778862,1.415683717778862
5,1,0.7961779201694995,,1.0,0.7961779201694995,0.7961779201694995
5,2,0.9513841887158063,,1.0,0.9513841887158063,0.9513841887158063
5,3,0.7574135128877248,,1.0,0.7574135128877248,0.7574135128877248
5,4,0.7568977876332461,,1.0,0.7568977876332461,0.7568977876332461
6,0,1.3931242724051514,,1.0,1.3931242724051514,1.3931242724051514
6,1,0.7087769454205419,,1.0,0.7087769454205419,0.7087769454205419
6,2,0.8598145538076528,,1.0,0.8598145538076528,0.8598145538076528
6,3,0.6782246983247047,,1.0,0.6782246983247047,0.6782246983247047
6,4,0.6723762764973871,,1.0,0.6723762764973871,0.6723762764973871
7,0,1.3786205771029219,,1.0,1.3786205771029219,1.3786205771029219
7,1,0.6518331561922525,,1.0,0.6518331561922525,0.6518331561922525
7,2,0.8003688051984822,,1.0,0.8003688051984822,0.8003688051984822
7,3,0.623350304646831,,1.0,0.623350304646831,0.623350304646831
7,4,0.6199471819962495,,1.0,0.6199471819962495,0.6199471819962495
8,0,1.366399717660163,,1.0,1.366399717660163,1.366399717660163
8,1,0.5975572825210358,,1.0,0.5975572825210358,0.5975572825210358
8,2,0.7497819817979428,,1.0,0.7497819817979428,0.7497819817979428
8,3,0.5828671294790109,,1.0,0.5828671294790109,0.5828671294790109
8,4,0.5824992705459842,,1.0,0.5824992705459842,0.5824992705459842
9,0,1.3585728672113326,,1.0,1.3585728672113326,1.3585728672113326
9,1,0.5691009821249623,,1.0,0.5691009821249623,0.5691009821249623
9,2,0.694780132773114,,1.0,0.694780132773114,0.694780132773114
9,3,0.5770601638506767,,1.0,0.5770601638506767,0.5770601638506767
9,4,0.5387978875331185,,1.0,0.5387978875331185,0.5387978875331185
10,0,1.3574256106686282,,1.0,1.3574256106686282,1.3574256106686282
10,1,0.5493292819937072,,1.0,0.5493292819937072,0.5493292819937072
10,2,0.664154726580233,,1.0,0.664154726580233,0.664154726580233
10,3,0.5418868311167829,,1.0,0.5418868311167829,0.5418868311167829
10,4,0.529232526790462,,1.0,0.529232526790462,0.529232526790462
