benchmark,method,seed,clean_accuracy_percent,attack_clean_accuracy_percent,clean_loss,attack_clean_loss,accuracy_damage_pp,loss_damage,clean_asr_percent,attack_asr_percent,paired_asr_increase_pp,defense_clean_accuracy_degradation_pp,defense_clean_loss_increase
model_poisoning,fedavg,42,89.2,28.389999999999997,0.4030652875185013,4.759283768081665,60.81,4.356218480563164,,,,0.0,0.0
model_poisoning,fedavg,43,88.86,25.900000000000002,0.38793335686922076,6.1282586563110355,62.959999999999994,5.740325299441815,,,,0.0,0.0
model_poisoning,fedavg,44,85.03,29.799999999999997,0.4747407714128494,4.99137721862793,55.230000000000004,4.51663644721508,,,,0.0,0.0
model_poisoning,clip_fedavg,42,89.07000000000001,89.08,0.41582533955574036,0.4130889252662659,-0.009999999999990905,-0.0027364142894744647,,,,0.12999999999999545,0.012760052037239067
model_poisoning,clip_fedavg,43,88.61,88.58,0.39525105623006823,0.39485006119012833,0.030000000000001137,-0.0004009950399398998,,,,0.25,0.007317699360847474
model_poisoning,clip_fedavg,44,84.97,85.1,0.475799728178978,0.4717541358709335,-0.12999999999999545,-0.004045592308044466,,,,0.060000000000002274,0.0010589567661285493
model_poisoning,coordinate_median,42,85.38,87.12,0.4865159676551819,0.4460359786748886,-1.740000000000009,-0.04047998898029331,,,,3.8200000000000074,0.08345068013668061
model_poisoning,coordinate_median,43,88.66000000000001,89.4,0.3987684800386429,0.36902924060821535,-0.7399999999999949,-0.029739239430427555,,,,0.19999999999998863,0.010835123169422145
model_poisoning,coordinate_median,44,79.36999999999999,80.72,0.6898080101490021,0.6169650461673737,-1.3500000000000085,-0.07284296398162837,,,,5.660000000000011,0.21506723873615263
backdoor,fedavg,42,89.2,89.07000000000001,0.4030652875185013,0.41160152792930604,0.12999999999999545,0.008536240410804752,0.8093126385809313,53.78048780487805,52.971175166297115,0.0,0.0
backdoor,fedavg,43,88.86,88.79,0.38793335686922076,0.3958573363542557,0.06999999999999318,0.007923979485034927,0.9977827050997782,67.039911308204,66.04212860310422,0.0,0.0
backdoor,fedavg,44,85.03,84.97,0.4747407714128494,0.48225101840496065,0.060000000000002274,0.007510246992111225,0.5875831485587583,68.29268292682927,67.70509977827051,0.0,0.0
backdoor,clip_fedavg,42,89.07000000000001,88.77000000000001,0.41582533955574036,0.42690932242870333,0.29999999999999716,0.011083982872962972,0.7871396895787139,36.62971175166297,35.84257206208425,0.12999999999999545,0.012760052037239067
backdoor,clip_fedavg,43,88.61,88.91,0.39525105623006823,0.3970904116511345,-0.29999999999999716,0.00183935542106628,0.975609756097561,37.87139689578714,36.89578713968958,0.25,0.007317699360847474
backdoor,clip_fedavg,44,84.97,84.36,0.475799728178978,0.49738486154079437,0.6099999999999994,0.02158513336181639,0.5875831485587583,52.08425720620843,51.49667405764967,0.060000000000002274,0.0010589567661285493
backdoor,coordinate_median,42,85.38,85.67,0.4865159676551819,0.4903261667251587,-0.29000000000000625,0.0038101990699768162,0.9312638580931265,0.8093126385809313,-0.12195121951219523,3.8200000000000074,0.08345068013668061
backdoor,coordinate_median,43,88.66000000000001,88.98,0.3987684800386429,0.3984522608399391,-0.3199999999999932,-0.0003162191987037821,1.1197339246119735,1.2195121951219512,0.09977827050997767,0.19999999999998863,0.010835123169422145
backdoor,coordinate_median,44,79.36999999999999,79.42,0.6898080101490021,0.6825273325443267,-0.05000000000001137,-0.007280677604675323,0.47671840354767187,0.9090909090909091,0.4323725055432372,5.660000000000011,0.21506723873615263
sybil_backdoor,fedavg,42,85.32,85.46000000000001,0.5169092570781708,0.5203084228992462,-0.14000000000001478,0.003399165821075356,1.3082039911308205,97.77161862527716,96.46341463414633,0.0,0.0
sybil_backdoor,fedavg,43,84.3,84.63000000000001,0.4891964259147644,0.49175015280246737,-0.3300000000000125,0.002553726887702945,1.2638580931263859,98.72505543237251,97.46119733924613,0.0,0.0
sybil_backdoor,fedavg,44,82.69999999999999,84.38,0.5182090591669083,0.49745408301353455,-1.6800000000000068,-0.02075497615337374,0.17738359201773835,98.9911308203991,98.81374722838137,0.0,0.0
sybil_backdoor,clip_fedavg,42,79.62,80.24,0.6421156285762787,0.6357166719436645,-0.6199999999999903,-0.006398956632614139,1.707317073170732,98.58093126385809,96.87361419068736,5.699999999999989,0.12520637149810787
sybil_backdoor,clip_fedavg,43,82.43,82.82000000000001,0.5231612736701965,0.5255656363964081,-0.39000000000000057,0.002404362726211584,1.252771618625277,98.76940133037694,97.51662971175166,1.8699999999999903,0.03396484775543207
sybil_backdoor,clip_fedavg,44,80.2,83.95,0.565800130367279,0.5089223202228547,-3.75,-0.05687781014442439,0.08869179600886917,99.21286031042129,99.12416851441242,2.499999999999986,0.04759107120037076
sybil_backdoor,coordinate_median,42,54.71,54.49,1.4049875387191773,1.4003561195373535,0.21999999999999886,-0.004631419181823748,3.2261640798226168,2.2838137472283813,-0.9423503325942355,30.609999999999992,0.8880782816410064
sybil_backdoor,coordinate_median,43,66.41,65.95,1.3782304874420166,1.3721326707839965,0.45999999999999375,-0.0060978166580201165,2.6274944567627494,3.1818181818181817,0.5543237250554323,17.89,0.8890340615272522
sybil_backdoor,coordinate_median,44,68.60000000000001,68.91000000000001,1.5797250177383422,1.1461005828857422,-0.3100000000000023,-0.43362443485259994,0.0,0.6319290465631929,0.6319290465631929,14.09999999999998,1.0615159585714338
