benchmark,method,n_seeds,round,clean_accuracy_percent_mean,clean_accuracy_percent_sample_sd,attack_clean_accuracy_percent_mean,attack_clean_accuracy_percent_sample_sd,clean_loss_mean,clean_loss_sample_sd,attack_clean_loss_mean,attack_clean_loss_sample_sd,accuracy_damage_pp_mean,accuracy_damage_pp_sample_sd,loss_damage_mean,loss_damage_sample_sd,clean_asr_percent_mean,clean_asr_percent_sample_sd,attack_asr_percent_mean,attack_asr_percent_sample_sd,paired_asr_increase_pp_mean,paired_asr_increase_pp_sample_sd,defense_clean_accuracy_degradation_pp_mean,defense_clean_accuracy_degradation_pp_sample_sd,defense_clean_loss_increase_mean,defense_clean_loss_increase_sample_sd
model_poisoning,fedavg,3,10,87.69666666666667,2.315649656863778,28.029999999999998,1.974765808899878,0.4219131386001905,0.04637146668734447,5.29297321434021,0.7326275790761059,59.666666666666664,3.989816202951371,4.8710600757400195,0.7570667096492771,,,,,,,0.0,0.0,0.0,0.0
model_poisoning,clip_fedavg,3,10,87.55,2.2461522655421233,87.58666666666666,2.1679790896900606,0.4289587079882622,0.04184956586359697,0.42656437410910925,0.040183951607137655,-0.03666666666666174,0.08326663997864467,-0.0023943338791529434,0.0018462222420426858,,,,,,,0.14666666666666592,0.09609023536932987,0.007045569388071697,0.005855292364815222
model_poisoning,coordinate_median,3,10,84.47,4.711379840344025,85.74666666666667,4.500014814790432,0.5250308192809423,0.14929349405962208,0.4773434218168259,0.12689821872915089,-1.2766666666666708,0.5040171954738657,-0.04768739746411641,0.022437531511642763,,,,,,,3.226666666666669,2.7779368843322194,0.10311768068075179,0.10352672331343228
backdoor,fedavg,3,10,87.69666666666667,2.315649656863778,87.61,2.2905894437895284,0.4219131386001905,0.04637146668734447,0.42990329422950746,0.04601285757100907,0.08666666666666363,0.03785938897199992,0.007990155629316967,0.0005161880329440387,0.7982261640798226,0.2053243811247465,63.03769401330377,8.041409035181276,62.23946784922395,8.069529430187039,0.0,0.0,0.0,0.0
backdoor,clip_fedavg,3,10,87.55,2.2461522655421233,87.34666666666666,2.5874762478781026,0.4289587079882622,0.04184956586359697,0.4404615318735441,0.051502339318665866,0.20333333333333314,0.4626373669877212,0.01150282388528188,0.009879549962754055,0.7834441980783444,0.19403969834183413,42.19512195121951,8.586716052594447,41.41167775314117,8.749724472598347,0.14666666666666592,0.09609023536932987,0.007045569388071697,0.005855292364815222
backdoor,coordinate_median,3,10,84.47,4.711379840344025,84.69,4.854760550222844,0.5250308192809423,0.14929349405962208,0.5237685867031415,0.1449601951621585,-0.2200000000000036,0.14798648586948007,-0.001262232577800763,0.005605630413981873,0.8425720620842573,0.33055546598393737,0.9793052475979305,0.21392395622182264,0.13673318551367322,0.2790034898474039,3.226666666666669,2.7779368843322194,0.10311768068075179,0.10352672331343228
sybil_backdoor,fedavg,3,10,84.10666666666665,1.3206564024504408,84.82333333333334,0.5653612414495165,0.5081049140532812,0.01638812265425156,0.503170886238416,0.015113076360031867,-0.716666666666678,0.8396626306638438,-0.0049340278148651455,0.013707862579367866,0.9164818920916482,0.6404618353552087,98.4959349593496,0.6412290089207405,97.57945306725794,1.1796203367128801,0.0,0.0,0.0,0.0
sybil_backdoor,clip_fedavg,3,10,80.75,1.4835430563350713,82.33666666666667,1.9016396433954967,0.5770256775379181,0.06026644439271925,0.5567348761876424,0.0689045937434342,-1.5866666666666636,1.8770277923710512,-0.02029080135027565,0.031989553252752795,1.016260162601626,0.8348294428143092,98.85439763488544,0.3244254287315432,97.83813747228382,1.159212716058267,3.356666666666655,2.053687739977364,0.0689207634846369,0.04921860159967398
sybil_backdoor,coordinate_median,3,10,63.24,7.467911354589048,63.116666666666674,7.61609698817796,1.454314347966512,0.10942971268228036,1.3061964577356975,0.13936340130343663,0.12333333333333012,0.39399661589071056,-0.1481178902308146,0.24725700767984954,1.9512195121951221,1.7161132008034576,2.0325203252032518,1.293385069686396,0.0813008130081299,0.8873566911909534,20.866666666666656,8.648146236814766,0.9462094339132308,0.09985952308299052
