round,loss,accuracy
1,1.2821948528289795,0.7762
2,0.7055314183235168,0.8471
3,0.5322442650794983,0.8737
4,0.4549652934074402,0.8845
5,0.41104772686958313,0.8922
6,0.38300374150276184,0.8964
7,0.36367663741111755,0.8997
8,0.3489457368850708,0.9023
9,0.33717846870422363,0.9059
10,0.32778292894363403,0.908
