round,loss,accuracy
1,1.4821523427963257,0.6929
2,0.7975186109542847,0.8315
3,0.5715672373771667,0.8647
4,0.4726894497871399,0.8829
5,0.4252467453479767,0.8881
6,0.3898780345916748,0.8937
7,0.36706724762916565,0.8984
8,0.3515368103981018,0.9011
9,0.3377262055873871,0.9036
10,0.3276974558830261,0.9085
