round,clean_loss,clean_accuracy_percent,asr_percent
1,1.550374400138855,62.39,3.514412416851441
2,0.9995704042434692,75.3,2.2505543237250554
3,0.7365034330368042,80.60000000000001,1.7849223946784922
4,0.598706025648117,84.02,1.4190687361419068
5,0.5302334711551666,85.3,1.3303769401330376
6,0.48091691143512727,86.66,1.2416851441241685
7,0.4554363677501678,87.14,1.197339246119734
8,0.426192138338089,87.85,1.097560975609756
9,0.41447734347581866,88.12,1.1419068736141906
10,0.39525105623006823,88.61,0.975609756097561
