round,client,update_norm,sent_update_norm,scale_ratio
1,0,1.831030703513538,1.831030703513538,1.0
1,1,1.9946777738305939,1.9946777738305939,1.0
1,2,1.874345995580221,1.874345995580221,1.0
1,3,1.9532595292938708,1.9532595292938708,1.0
1,4,1.9746980367269178,1.9746980367269178,1.0
2,0,1.3135991253017518,1.3135991253017518,1.0
2,1,1.4198009518809744,1.4198009518809744,1.0
2,2,1.3730311213770552,1.3730311213770552,1.0
2,3,1.423924083716704,1.423924083716704,1.0
2,4,1.418277417532529,1.418277417532529,1.0
3,0,0.7215794912444046,0.7215794912444046,1.0
3,1,0.7947634641288187,0.7947634641288187,1.0
3,2,0.7707356706381439,0.7707356706381439,1.0
3,3,0.7960554194363486,0.7960554194363486,1.0
3,4,0.7916259095245206,0.7916259095245206,1.0
4,0,0.4918820079246429,0.4918820079246429,1.0
4,1,0.5511291814126721,0.5511291814126721,1.0
4,2,0.5301301190540673,0.5301301190540673,1.0
4,3,0.5478375027273146,0.5478375027273146,1.0
4,4,0.5447965086867814,0.5447965086867814,1.0
5,0,0.38236602880042636,0.38236602880042636,1.0
5,1,0.42616448915436334,0.42616448915436334,1.0
5,2,0.4103720067131732,0.4103720067131732,1.0
5,3,0.4205366164597181,0.4205366164597181,1.0
5,4,0.42169378342205244,0.42169378342205244,1.0
6,0,0.31589112574171424,0.31589112574171424,1.0
6,1,0.35909159965981935,0.35909159965981935,1.0
6,2,0.33979264654482044,0.33979264654482044,1.0
6,3,0.3490583239312113,0.3490583239312113,1.0
6,4,0.349831268486397,0.349831268486397,1.0
7,0,0.27902816327641183,0.27902816327641183,1.0
7,1,0.3068069137775971,0.3068069137775971,1.0
7,2,0.2964646137076928,0.2964646137076928,1.0
7,3,0.30049838919971184,0.30049838919971184,1.0
7,4,0.303177745174782,0.303177745174782,1.0
8,0,0.25312774524864384,0.25312774524864384,1.0
8,1,0.2758504419393631,0.2758504419393631,1.0
8,2,0.26790411042382684,0.26790411042382684,1.0
8,3,0.2725725735247277,0.2725725735247277,1.0
8,4,0.27309798319836986,0.27309798319836986,1.0
9,0,0.23954338703660677,0.23954338703660677,1.0
9,1,0.2529345707785001,0.2529345707785001,1.0
9,2,0.24905358107858516,0.24905358107858516,1.0
9,3,0.2478892755922447,0.2478892755922447,1.0
9,4,0.2525289271139454,0.2525289271139454,1.0
10,0,0.2174045352829214,0.2174045352829214,1.0
10,1,0.23870930209491104,0.23870930209491104,1.0
10,2,0.2318067359779794,0.2318067359779794,1.0
10,3,0.23085436482371707,0.23085436482371707,1.0
10,4,0.23761835903550632,0.23761835903550632,1.0
