round,client,update_norm,sent_update_norm,scale_ratio
1,0,1.896855293479737,1.896855293479737,1.0
1,1,1.876354923672534,1.876354923672534,1.0
1,2,1.8870997883541274,1.8870997883541274,1.0
1,3,1.860566770477722,1.860566770477722,1.0
1,4,1.8877558558326681,1.8877558558326681,1.0
2,0,1.424873720922861,1.424873720922861,1.0
2,1,1.4332428103769557,1.4332428103769557,1.0
2,2,1.4252538171685945,1.4252538171685945,1.0
2,3,1.4301992206074707,1.4301992206074707,1.0
2,4,1.4066781572662819,1.4066781572662819,1.0
3,0,0.7860585944422663,0.7860585944422663,1.0
3,1,0.7986373078503292,0.7986373078503292,1.0
3,2,0.7965753070416718,0.7965753070416718,1.0
3,3,0.8093601815018351,0.8093601815018351,1.0
3,4,0.7757217790180965,0.7757217790180965,1.0
4,0,0.5329509034958703,0.5329509034958703,1.0
4,1,0.5477106127912025,0.5477106127912025,1.0
4,2,0.5473772368393671,0.5473772368393671,1.0
4,3,0.5635360673197705,0.5635360673197705,1.0
4,4,0.5295366351687624,0.5295366351687624,1.0
5,0,0.40689295197737296,0.40689295197737296,1.0
5,1,0.4190622261072402,0.4190622261072402,1.0
5,2,0.42427280148557317,0.42427280148557317,1.0
5,3,0.4339536157204549,0.4339536157204549,1.0
5,4,0.4076759838692645,0.4076759838692645,1.0
6,0,0.3345822265966609,0.3345822265966609,1.0
6,1,0.34596532585253365,0.34596532585253365,1.0
6,2,0.3474730132536582,0.3474730132536582,1.0
6,3,0.3624484446849494,0.3624484446849494,1.0
6,4,0.3377172085475951,0.3377172085475951,1.0
7,0,0.2887688874154756,0.2887688874154756,1.0
7,1,0.30165253087603294,0.30165253087603294,1.0
7,2,0.30005608255470506,0.30005608255470506,1.0
7,3,0.3115840475315428,0.3115840475315428,1.0
7,4,0.29533357489268114,0.29533357489268114,1.0
8,0,0.2617425435872837,0.2617425435872837,1.0
8,1,0.26637095935149485,0.26637095935149485,1.0
8,2,0.26694362799256827,0.26694362799256827,1.0
8,3,0.2770638027772333,0.2770638027772333,1.0
8,4,0.2677578965580614,0.2677578965580614,1.0
9,0,0.2362555659567042,0.2362555659567042,1.0
9,1,0.24165799795502851,0.24165799795502851,1.0
9,2,0.24648954202930642,0.24648954202930642,1.0
9,3,0.2546440349113722,0.2546440349113722,1.0
9,4,0.24271764976344848,0.24271764976344848,1.0
10,0,0.2214391343710196,0.2214391343710196,1.0
10,1,0.22768718765798937,0.22768718765798937,1.0
10,2,0.22741906589491934,0.22741906589491934,1.0
10,3,0.2359366657332158,0.2359366657332158,1.0
10,4,0.22740544396154921,0.22740544396154921,1.0
