alpha,scale,samples_per_client,seeds,clean_accuracy_mean,clean_accuracy_sample_std,poisoned_accuracy_mean,poisoned_accuracy_sample_std,clean_loss_mean,clean_loss_sample_std,poisoned_loss_mean,poisoned_loss_sample_std,accuracy_damage_pp_mean,accuracy_damage_pp_sample_std,loss_damage_mean,loss_damage_sample_std
0.01,10,12000,3,0.8556333333333334,0.023810991859503316,0.23303333333333334,0.03405206797440257,0.4647485098600388,0.031242368146816666,6.908000628662109,1.955904385263572,62.26,5.695998595505445,6.443252118802071,1.9595050101568514
0.1,10,12000,3,0.8769666666666667,0.023156496568637806,0.2803,0.019747658088998796,0.4219131386001905,0.04637146668734447,5.29297321434021,0.7326275790761059,59.66666666666667,3.9898162029513724,4.8710600757400195,0.7570667096492771
1,10,12000,3,0.9072666666666667,0.00023094010767582486,0.34673333333333334,0.08444609720604815,0.3341019982953866,0.005783524096169445,5.300559685134887,1.9394690266042138,56.05333333333333,8.460510228900697,4.966457686839501,1.9407269030180394
10,10,12000,3,0.9088666666666667,0.0010598742063723117,0.3138,0.022354417907876758,0.3246348383188248,0.0012182285775379812,7.485287772115071,0.53213928441151,59.506666666666675,2.332688005999377,7.160652933796246,0.5330992038556871
100,10,12000,3,0.9098666666666667,0.0010066445913694327,0.34526666666666667,0.04409652291658985,0.32253595211108527,0.001674376074937308,5.907290391540528,0.6930755943209133,56.46000000000001,4.373979881069414,5.584754439429442,0.6928906545640972
