round,client,update_norm,sent_update_norm,scale_ratio
1,0,1.7487888404031777,1.7487888404031777,1.0
1,1,2.2153485275991054,2.2153485275991054,1.0
1,2,1.3282721490410079,1.3282721490410079,1.0
1,3,1.7375794003525094,1.7375794003525094,1.0
1,4,1.8188519536388408,1.8188519536388408,1.0
2,0,1.3666778515937463,1.3666778515937463,1.0
2,1,1.689735860272093,1.689735860272093,1.0
2,2,1.1087540670621354,1.1087540670621354,1.0
2,3,1.4048478197367795,1.4048478197367795,1.0
2,4,1.4460889295907007,1.4460889295907007,1.0
3,0,1.1209853367573754,1.1209853367573754,1.0
3,1,1.3376535591384073,1.3376535591384073,1.0
3,2,0.9814615431122072,0.9814615431122072,1.0
3,3,1.1960320029148754,1.1960320029148754,1.0
3,4,1.2316210134052739,1.2316210134052739,1.0
4,0,0.9610966177725231,0.9610966177725231,1.0
4,1,1.1238817766400697,1.1238817766400697,1.0
4,2,0.8874650101169624,0.8874650101169624,1.0
4,3,1.0580238088421015,1.0580238088421015,1.0
4,4,1.0986112023880443,1.0986112023880443,1.0
5,0,0.8534284328141364,0.8534284328141364,1.0
5,1,0.9811777775062664,0.9811777775062664,1.0
5,2,0.8158602535583208,0.8158602535583208,1.0
5,3,0.9612895185628355,0.9612895185628355,1.0
5,4,0.9984878712104667,0.9984878712104667,1.0
6,0,0.7799003977093283,0.7799003977093283,1.0
6,1,0.8762170996451516,0.8762170996451516,1.0
6,2,0.7568042566078369,0.7568042566078369,1.0
6,3,0.8868968518385236,0.8868968518385236,1.0
6,4,0.9286746544120066,0.9286746544120066,1.0
7,0,0.7349246829268382,0.7349246829268382,1.0
7,1,0.8110928028139014,0.8110928028139014,1.0
7,2,0.7074488499118619,0.7074488499118619,1.0
7,3,0.8233454185528827,0.8233454185528827,1.0
7,4,0.8775792467901482,0.8775792467901482,1.0
8,0,0.7012947683704658,0.7012947683704658,1.0
8,1,0.7619033670915812,0.7619033670915812,1.0
8,2,0.6676635540505128,0.6676635540505128,1.0
8,3,0.7764128699298128,0.7764128699298128,1.0
8,4,0.8333684192823855,0.8333684192823855,1.0
9,0,0.671332579137121,0.671332579137121,1.0
9,1,0.7257504200989386,0.7257504200989386,1.0
9,2,0.6341861590904335,0.6341861590904335,1.0
9,3,0.7503674753788055,0.7503674753788055,1.0
9,4,0.8045477725537807,0.8045477725537807,1.0
10,0,0.6496591975881244,0.6496591975881244,1.0
10,1,0.6940269682993194,0.6940269682993194,1.0
10,2,0.6059807209275202,0.6059807209275202,1.0
10,3,0.7094171994870461,0.7094171994870461,1.0
10,4,0.7777641900202901,0.7777641900202901,1.0
