round,client_i,client_j,cosine_similarity,pair_type
3,1,4,0.22408670338772657,honest_honest
3,1,5,0.5541659582363068,sybil_honest
3,1,6,0.5460569377557298,sybil_honest
3,2,3,0.4002345017105273,honest_honest
3,2,4,0.4217774975780597,honest_honest
3,2,5,0.44240221190350726,sybil_honest
3,2,6,0.4444220489163019,sybil_honest
3,3,4,0.3517080987693802,honest_honest
3,3,5,0.16878952232920114,sybil_honest
3,3,6,0.16076401320283704,sybil_honest
3,4,5,0.11462976398293342,sybil_honest
3,4,6,0.11492634031661994,sybil_honest
3,5,6,0.998908788175457,sybil_sybil
4,0,1,0.43000830068386053,sybil_honest
4,0,2,0.39457644553959453,sybil_honest
4,0,3,0.06571957390038499,sybil_honest
4,0,4,0.03339747664446306,sybil_honest
4,0,5,0.9979833499816824,sybil_sybil
4,0,6,0.9969876142068317,sybil_sybil
4,1,2,0.1092234873948159,honest_honest
4,1,3,0.07845248148582333,honest_honest
4,1,4,0.1845026675219216,honest_honest
4,1,5,0.45218883605322935,sybil_honest
4,1,6,0.4378918643601343,sybil_honest
4,2,3,0.35681307186298494,honest_honest
4,2,4,0.421512476548199,honest_honest
4,2,5,0.39096133721779214,sybil_honest
4,2,6,0.39907268510186666,sybil_honest
4,3,4,0.3050790240778849,honest_honest
4,3,5,0.05782024940734115,sybil_honest
4,3,6,0.0714275374921738,sybil_honest
4,4,5,0.030926363368396003,sybil_honest
4,4,6,0.025595317595776157,sybil_honest
4,5,6,0.9979661241812341,sybil_sybil
5,0,1,0.3441322538277497,sybil_honest
5,0,2,0.3385747153200783,sybil_honest
5,0,3,-0.035304217361119966,sybil_honest
5,0,4,-0.04305951263390141,sybil_honest
5,0,5,0.9962044606521707,sybil_sybil
5,0,6,0.9966264344417092,sybil_sybil
5,1,2,0.04003273468122359,honest_honest
5,1,3,-0.00011942607217295745,honest_honest
5,1,4,0.14553480438406985,honest_honest
5,1,5,0.3337045200512828,sybil_honest
5,1,6,0.3640799972953905,sybil_honest
5,2,3,0.31815611870448285,honest_honest
5,2,4,0.4014694739323813,honest_honest
5,2,5,0.3334845695671148,sybil_honest
5,2,6,0.3530139878318557,sybil_honest
5,3,4,0.28021213743431617,honest_honest
5,3,5,0.005149205899829527,sybil_honest
5,3,6,-0.022270058555392387,sybil_honest
5,4,5,-0.03333977690901033,sybil_honest
5,4,6,-0.047108368610782374,sybil_honest
5,5,6,0.9948677420904046,sybil_sybil
6,0,1,0.25171738996927573,sybil_honest
6,0,2,0.2924931500438551,sybil_honest
6,0,3,-0.09624621125452151,sybil_honest
6,0,4,-0.08814169150706852,sybil_honest
6,0,5,0.9974255348182608,sybil_sybil
6,0,6,0.9955767579692277,sybil_sybil
6,1,2,-0.035465415448995063,honest_honest
6,1,3,-0.0362891100392899,honest_honest
6,1,4,0.14686049223065392,honest_honest
6,1,5,0.25072113048083666,sybil_honest
6,1,6,0.24704867011890136,sybil_honest
6,2,3,0.2890353924388338,honest_honest
6,2,4,0.36929344262410696,honest_honest
