round,loss,accuracy
1,1.9929729021072389,0.3975
2,1.7476647308349609,0.4449
3,1.5630704820632935,0.4836
4,1.4217514133453368,0.5197
5,1.3123008178710938,0.5591
6,1.2263882892608642,0.5897
7,1.1587405685424805,0.6145
8,1.1064188652992248,0.631
9,1.0611048212051393,0.6494
10,1.0224088696479798,0.6598
