round,loss,accuracy
1,9.414403929138183,0.3061
2,5.604174158477783,0.2617
3,6.583652673339844,0.3141
4,3.2498698650360107,0.2068
5,6.993950944519043,0.309
6,2.8070814659118652,0.2088
7,5.041674296569824,0.3195
8,2.014107354736328,0.4337
9,3.6864924964904784,0.372
10,1.4303698081970215,0.5527
