round,client,update_norm,sent_update_norm,scale_ratio
1,0,2.101264336151614,21.012643309063627,9.99999997503764
1,1,1.5738615054041722,1.5738615054041722,1.0
1,2,2.3560188027658047,2.3560188027658047,1.0
1,3,1.5318735233475023,1.5318735233475023,1.0
1,4,2.1660799513615285,2.1660799513615285,1.0
2,0,0.7280337532774017,7.28033753948471,10.000000009217556
2,1,2.10905713264972,2.10905713264972,1.0
2,2,2.527210083771373,2.527210083771373,1.0
2,3,1.5184201147968563,1.5184201147968563,1.0
2,4,1.8230771807680142,1.8230771807680142,1.0
3,0,1.2877971758117206,12.877971734356084,9.999999981549019
3,1,1.4282300847354652,1.4282300847354652,1.0
3,2,1.6091331699836386,1.6091331699836386,1.0
3,3,0.5284887822350653,0.5284887822350653,1.0
3,4,1.1476259447590107,1.1476259447590107,1.0
4,0,1.177101581129462,11.771015810841249,9.99999999961484
4,1,1.6619382982024271,1.6619382982024271,1.0
4,2,2.2488539734422033,2.2488539734422033,1.0
4,3,1.9739759295915376,1.9739759295915376,1.0
4,4,2.0769698657063986,2.0769698657063986,1.0
5,0,1.596931597061373,15.969315995668568,10.000000015689361
5,1,1.4043783269784427,1.4043783269784427,1.0
5,2,1.3697357364493692,1.3697357364493692,1.0
5,3,1.1151065712138777,1.1151065712138777,1.0
5,4,1.443320556178492,1.443320556178492,1.0
6,0,1.2322094158950214,12.322094162450728,10.000000002840844
6,1,1.9858164577578066,1.9858164577578066,1.0
6,2,2.4824715231296492,2.4824715231296492,1.0
6,3,1.568052329651663,1.568052329651663,1.0
6,4,1.8112274592500746,1.8112274592500746,1.0
7,0,1.4507944283597047,14.507944280624217,9.999999997950894
7,1,1.2025372924067264,1.2025372924067264,1.0
7,2,1.193593047818398,1.193593047818398,1.0
7,3,0.9152414080131885,0.9152414080131885,1.0
7,4,1.2481989718114546,1.2481989718114546,1.0
8,0,1.0099532385981098,10.099532401328798,10.000000015196445
8,1,1.7458286602140995,1.7458286602140995,1.0
8,2,2.2604779572036464,2.2604779572036464,1.0
8,3,1.695122320074387,1.695122320074387,1.0
8,4,1.5377578027136451,1.5377578027136451,1.0
9,0,1.1967422303052353,11.9674222725089,9.999999974477834
9,1,1.1689796400078953,1.1689796400078953,1.0
9,2,1.1065946681292467,1.1065946681292467,1.0
9,3,0.8800566475719946,0.8800566475719946,1.0
9,4,1.0427897711565584,1.0427897711565584,1.0
10,0,0.9063066115822997,9.063066135862108,10.000000022110742
10,1,1.4561592186283754,1.4561592186283754,1.0
10,2,1.9776881889496374,1.9776881889496374,1.0
10,3,1.6076235464310047,1.6076235464310047,1.0
10,4,1.3231142386414212,1.3231142386414212,1.0
